DATE,CARBON_INTENSITY
2023-01-01,99.95833333333333
2023-01-02,150.79166666666666
2023-01-03,99.04166666666667
2023-01-04,60.083333333333336
2023-01-05,102.39583333333333
2023-01-06,81.52083333333333
2023-01-07,58.854166666666664
2023-01-08,63.958333333333336
2023-01-09,80.1875
2023-01-10,77.125
2023-01-11,66.10416666666667
2023-01-12,68.79166666666667
2023-01-13,78.08333333333333
2023-01-14,55.354166666666664
2023-01-15,110.75
2023-01-16,173.75
2023-01-17,206.39583333333334
2023-01-18,164.20833333333334
2023-01-19,205.5
2023-01-20,208.8125
2023-01-21,192.9375
2023-01-22,192.875
2023-01-23,243.375
2023-01-24,244.79166666666666
2023-01-25,213.14583333333334
2023-01-26,207.60416666666666
2023-01-27,238.91666666666666
2023-01-28,248.70833333333334
2023-01-29,99.89583333333333
2023-01-30,140.10416666666666
2023-01-31,109.91666666666667
2023-02-01,88.45833333333333
2023-02-02,99.27083333333333
2023-02-03,112.16666666666667
2023-02-04,129.35416666666666
2023-02-05,127.75
2023-02-06,212.125
2023-02-07,247.33333333333334
2023-02-08,181.29166666666666
2023-02-09,181.60416666666666
2023-02-10,149.20833333333334
2023-02-11,174.91666666666666
2023-02-12,216.39583333333334
2023-02-13,241.3125
2023-02-14,220.35416666666666
2023-02-15,161.83333333333334
2023-02-16,161.66666666666666
2023-02-17,101.20833333333333
2023-02-18,91.625
2023-02-19,104.70833333333333
2023-02-20,109.70833333333333
2023-02-21,201.5
2023-02-22,219.75
2023-02-23,177.0
2023-02-24,132.85416666666666
2023-02-25,120.0
2023-02-26,166.14583333333334
2023-02-27,240.75
2023-02-28,249.54166666666666
2023-03-01,229.54166666666666
2023-03-02,246.04166666666666
2023-03-03,247.89583333333334
2023-03-04,235.95833333333334
2023-03-05,243.39583333333334
2023-03-06,222.375
2023-03-07,255.10416666666666
2023-03-08,233.72916666666666
2023-03-09,186.60416666666666
2023-03-10,150.25
2023-03-11,185.1875
2023-03-12,70.95833333333333
2023-03-13,63.0
2023-03-14,127.04166666666667
2023-03-15,190.91666666666666
2023-03-16,99.22916666666667
2023-03-17,165.75
2023-03-18,156.70833333333334
2023-03-19,159.16666666666666
2023-03-20,182.375
2023-03-21,99.5625
2023-03-22,66.625
2023-03-23,77.25
2023-03-24,52.166666666666664
2023-03-25,90.39583333333333
2023-03-26,121.02083333333333
2023-03-27,185.125
2023-03-28,136.77083333333334
2023-03-29,126.75
2023-03-30,103.8125
2023-03-31,121.0625
2023-04-01,116.02083333333333
2023-04-02,149.16666666666666
2023-04-03,158.83333333333334
2023-04-04,183.77083333333334
2023-04-05,209.6875
2023-04-06,166.5
2023-04-07,187.875
2023-04-08,178.9375
2023-04-09,114.5625
2023-04-10,59.5625
2023-04-11,98.64583333333333
2023-04-12,92.125
2023-04-13,117.35416666666667
2023-04-14,230.45833333333334
2023-04-15,175.20833333333334
2023-04-16,191.0625
2023-04-17,225.27083333333334
2023-04-18,131.04166666666666
2023-04-19,96.04166666666667
2023-04-20,114.79166666666667
2023-04-21,156.8125
2023-04-22,152.52083333333334
2023-04-23,120.72916666666667
2023-04-24,141.47916666666666
2023-04-25,185.02083333333334
2023-04-26,244.3125
2023-04-27,184.02083333333334
2023-04-28,187.20833333333334
2023-04-29,202.3125
2023-04-30,139.89583333333334
2023-05-01,146.6875
2023-05-02,215.72916666666666
2023-05-03,156.60416666666666
2023-05-04,97.10416666666667
2023-05-05,161.20833333333334
2023-05-06,189.1875
2023-05-07,139.79166666666666
2023-05-08,131.375
2023-05-09,195.5625
2023-05-10,197.27083333333334
2023-05-11,226.45833333333334
2023-05-12,152.35416666666666
2023-05-13,142.91666666666666
2023-05-14,153.22916666666666
2023-05-15,124.875
2023-05-16,144.02083333333334
2023-05-17,192.85416666666666
2023-05-18,175.375
2023-05-19,182.125
2023-05-20,101.95833333333333
2023-05-21,101.625
2023-05-22,115.91666666666667
2023-05-23,135.60416666666666
2023-05-24,152.35416666666666
2023-05-25,154.9375
2023-05-26,143.375
2023-05-27,96.75
2023-05-28,87.0625
2023-05-29,76.1875
2023-05-30,119.6875
2023-05-31,142.29166666666666
2023-06-01,128.08333333333334
2023-06-02,128.77083333333334
2023-06-03,113.54166666666667
2023-06-04,124.625
2023-06-05,170.35416666666666
2023-06-06,186.35416666666666
2023-06-07,189.5625
2023-06-08,141.04166666666666
2023-06-09,106.10416666666667
2023-06-10,79.64583333333333
2023-06-11,155.70833333333334
2023-06-12,205.14583333333334
2023-06-13,175.45833333333334
2023-06-14,167.0625
2023-06-15,204.25
2023-06-16,221.20833333333334
2023-06-17,198.25
2023-06-18,163.35416666666666
2023-06-19,179.58333333333334
2023-06-20,210.77083333333334
2023-06-21,215.45833333333334
2023-06-22,228.5625
2023-06-23,175.27083333333334
2023-06-24,113.0625
2023-06-25,99.25
2023-06-26,111.625
2023-06-27,175.10416666666666
2023-06-28,203.125
2023-06-29,179.95833333333334
2023-06-30,119.64583333333333
2023-07-01,75.60416666666667
2023-07-02,73.875
2023-07-03,66.72916666666667
2023-07-04,126.64583333333333
2023-07-05,114.08333333333333
2023-07-06,140.85416666666666
2023-07-07,105.16666666666667
2023-07-08,112.70833333333333
2023-07-09,153.66666666666666
2023-07-10,174.14583333333334
2023-07-11,152.02083333333334
2023-07-12,150.77083333333334
2023-07-13,181.41666666666666
2023-07-14,147.08333333333334
2023-07-15,58.0625
2023-07-16,76.47916666666667
2023-07-17,129.125
2023-07-18,218.79166666666666
2023-07-19,207.29166666666666
2023-07-20,209.72916666666666
2023-07-21,204.85416666666666
