# Run number 23 on Tue May 21 12:14:02 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1555E-01    4.6788E+01    5.3003E+01    2.0150E+01    1.5848E+01    1.4691E+01    7.4393E+01    4.9140E+01    1.3524E+01    4.2645E+00    1.5747E+01    1.5085E+01    1.2744E+01   
 1.4609E+00    4.6793E+01    5.2995E+01    2.0182E+01    1.5869E+01    1.4774E+01    7.4380E+01    4.9211E+01    1.3533E+01    4.2442E+00    1.5829E+01    1.4816E+01    1.2744E+01   
 2.5630E+00    4.6807E+01    5.2996E+01    2.0442E+01    1.5908E+01    1.4875E+01    7.4385E+01    4.9255E+01    1.3534E+01    4.2442E+00    1.5768E+01    1.5133E+01    1.2772E+01   
 3.6591E+00    4.6839E+01    5.3006E+01    2.0460E+01    1.5958E+01    1.5002E+01    7.4368E+01    4.9368E+01    1.3560E+01    4.2238E+00    1.5829E+01    1.4926E+01    1.2687E+01   
 4.7483E+00    4.6833E+01    5.3002E+01    2.0365E+01    1.5990E+01    1.5138E+01    7.4355E+01    4.9491E+01    1.3582E+01    4.2645E+00    1.5809E+01    1.5158E+01    1.2772E+01   
 5.8304E+00    4.6873E+01    5.3009E+01    2.0511E+01    1.6008E+01    1.5201E+01    7.4347E+01    4.9625E+01    1.3623E+01    4.2645E+00    1.5707E+01    1.4792E+01    1.2687E+01   
 6.9158E+00    4.6904E+01    5.3011E+01    2.0648E+01    1.6049E+01    1.5323E+01    7.4386E+01    4.9707E+01    1.3668E+01    4.2442E+00    1.5809E+01    1.4816E+01    1.2715E+01   
 8.0039E+00    4.6925E+01    5.3022E+01    2.0431E+01    1.6075E+01    1.5412E+01    7.4364E+01    4.9793E+01    1.3686E+01    4.2645E+00    1.5747E+01    1.4792E+01    1.2772E+01   
 9.0931E+00    4.6925E+01    5.3034E+01    2.0214E+01    1.6045E+01    1.5465E+01    7.4327E+01    4.9895E+01    1.3683E+01    4.2849E+00    1.5788E+01    1.4804E+01    1.2772E+01   
 1.0181E+01    4.6956E+01    5.3037E+01    2.0427E+01    1.6145E+01    1.5608E+01    7.4295E+01    4.9964E+01    1.3737E+01    4.2849E+00    1.5707E+01    1.4792E+01    1.2772E+01   
 1.1268E+01    4.6967E+01    5.3062E+01    2.0350E+01    1.6122E+01    1.5701E+01    7.4240E+01    5.0042E+01    1.3725E+01    4.2645E+00    1.5829E+01    1.4816E+01    1.2744E+01   
