# Run number 14 on Tue May 21 10:40:44 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1536E-01    4.5891E+01    5.2820E+01    2.0609E+01    1.6193E+01    1.5402E+01    7.2188E+01    4.8668E+01    1.3733E+01    4.3053E+00    1.5707E+01    1.4926E+01    9.6528E+00   
 1.4607E+00    4.5898E+01    5.2829E+01    2.0602E+01    1.6210E+01    1.5505E+01    7.2180E+01    4.8767E+01    1.3729E+01    4.2849E+00    1.5666E+01    1.5170E+01    9.6302E+00   
 2.5468E+00    4.5896E+01    5.2807E+01    2.0621E+01    1.6154E+01    1.5612E+01    7.2203E+01    4.8779E+01    1.3778E+01    4.3053E+00    1.5605E+01    1.5145E+01    9.6979E+00   
 3.6590E+00    4.5884E+01    5.2776E+01    2.0663E+01    1.6251E+01    1.5642E+01    7.2194E+01    4.8858E+01    1.3799E+01    4.3053E+00    1.5707E+01    1.4865E+01    9.6754E+00   
 4.7480E+00    4.5871E+01    5.2789E+01    2.0569E+01    1.6240E+01    1.5742E+01    7.2229E+01    4.8968E+01    1.3817E+01    4.3053E+00    1.5645E+01    1.4719E+01    9.6979E+00   
 5.8362E+00    4.5861E+01    5.2781E+01    2.1008E+01    1.6265E+01    1.5841E+01    7.2198E+01    4.9036E+01    1.3821E+01    4.3257E+00    1.5584E+01    1.5097E+01    9.6979E+00   
 6.9233E+00    4.5852E+01    5.2802E+01    2.1345E+01    1.6271E+01    1.5930E+01    7.2204E+01    4.9043E+01    1.3877E+01    4.3257E+00    1.5727E+01    1.4707E+01    9.6979E+00   
 8.0115E+00    4.5849E+01    5.2805E+01    2.1602E+01    1.6245E+01    1.5958E+01    7.2176E+01    4.9115E+01    1.3880E+01    4.3053E+00    1.5584E+01    1.4902E+01    9.6754E+00   
 9.1007E+00    4.5865E+01    5.2806E+01    2.1021E+01    1.6384E+01    1.6063E+01    7.2161E+01    4.9185E+01    1.3892E+01    4.3257E+00    1.5543E+01    1.5072E+01    9.6979E+00   
 1.0189E+01    4.5869E+01    5.2807E+01    2.0558E+01    1.6426E+01    1.6143E+01    7.2161E+01    4.9231E+01    1.3947E+01    4.3664E+00    1.5707E+01    1.4756E+01    9.6979E+00   
 1.1276E+01    4.5859E+01    5.2824E+01    2.0342E+01    1.6368E+01    1.6159E+01    7.2156E+01    4.9258E+01    1.3983E+01    4.3664E+00    1.5605E+01    1.5219E+01    9.6979E+00   
 1.2364E+01    4.5852E+01    5.2828E+01    2.0450E+01    1.6400E+01    1.6262E+01    7.2174E+01    4.9328E+01    1.4025E+01    4.3664E+00    1.5645E+01    1.4877E+01    9.6754E+00   
 1.3453E+01    4.5858E+01    5.2841E+01    2.0445E+01    1.6383E+01    1.6347E+01    7.2176E+01    4.9353E+01    1.4060E+01    4.3868E+00    1.5666E+01    1.5231E+01    9.6754E+00   
 1.4535E+01    4.5846E+01    5.2855E+01    2.0864E+01    1.6365E+01    1.6408E+01    7.2131E+01    4.9367E+01    1.4114E+01    4.3664E+00    1.5747E+01    1.5206E+01    9.6754E+00   
 1.5621E+01    4.5858E+01    5.2860E+01    2.1207E+01    1.6417E+01    1.6445E+01    7.2127E+01    4.9375E+01    1.4147E+01    4.3868E+00    1.5747E+01    1.4890E+01    9.6754E+00   
 1.6709E+01    4.5848E+01    5.2868E+01    2.1253E+01    1.6434E+01    1.6475E+01    7.2065E+01    4.9393E+01    1.4147E+01    4.4071E+00    1.5645E+01    1.4792E+01    9.6979E+00   
