# Run number 27 on Tue May 21 12:32:10 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.0095E-01    4.8297E+01    5.4360E+01    2.0299E+01    1.6009E+01    1.4911E+01    7.5262E+01    4.9438E+01    1.3523E+01    4.2238E+00    1.6298E+01    1.5048E+01    1.2800E+01   
 1.4463E+00    4.8284E+01    5.4350E+01    2.0218E+01    1.6030E+01    1.5057E+01    7.5231E+01    4.9576E+01    1.3539E+01    4.2442E+00    1.6298E+01    1.5170E+01    1.2658E+01   
 2.5324E+00    4.8276E+01    5.4337E+01    2.0194E+01    1.6192E+01    1.5184E+01    7.5200E+01    4.9660E+01    1.3591E+01    4.2645E+00    1.6278E+01    1.5462E+01    1.2715E+01   
 3.6366E+00    4.8281E+01    5.4330E+01    2.0100E+01    1.6056E+01    1.5241E+01    7.5175E+01    4.9792E+01    1.3620E+01    4.2645E+00    1.6216E+01    1.5011E+01    1.2715E+01   
 4.7257E+00    4.8293E+01    5.4326E+01    2.0040E+01    1.6170E+01    1.5404E+01    7.5140E+01    4.9937E+01    1.3658E+01    4.2849E+00    1.6176E+01    1.5462E+01    1.2687E+01   
 5.8138E+00    4.8280E+01    5.4326E+01    2.0123E+01    1.6221E+01    1.5528E+01    7.5115E+01    4.9997E+01    1.3669E+01    4.2645E+00    1.6400E+01    1.5036E+01    1.2715E+01   
 6.9010E+00    4.8283E+01    5.4339E+01    2.0208E+01    1.6274E+01    1.5648E+01    7.5120E+01    5.0096E+01    1.3742E+01    4.2849E+00    1.6257E+01    1.5462E+01    1.2715E+01   
 7.9892E+00    4.8277E+01    5.4332E+01    2.0245E+01    1.6250E+01    1.5680E+01    7.5056E+01    5.0212E+01    1.3721E+01    4.2849E+00    1.6176E+01    1.5206E+01    1.2772E+01   
 9.0783E+00    4.8257E+01    5.4333E+01    2.0360E+01    1.6255E+01    1.5802E+01    7.5028E+01    5.0342E+01    1.3743E+01    4.3053E+00    1.6155E+01    1.5145E+01    1.2772E+01   
 1.0166E+01    4.8260E+01    5.4318E+01    2.0672E+01    1.6256E+01    1.5885E+01    7.5009E+01    5.0380E+01    1.3786E+01    4.3053E+00    1.6278E+01    1.5097E+01    1.2715E+01   
