# Run number 12 on Tue May 21 10:26:00 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1877E-01    4.5465E+01    4.4847E+01    2.1146E+01    2.0263E+01    2.9629E+01    6.0302E+01    4.5154E+01    2.3626E+01    7.3407E+00    7.4872E+00    7.3715E+00    9.6979E+00   
 1.4642E+00    4.5462E+01    4.4954E+01    2.1252E+01    2.0278E+01    2.9610E+01    6.0188E+01    4.5081E+01    2.3905E+01    7.3611E+00    7.4872E+00    7.4080E+00    9.6754E+00   
 2.5582E+00    4.5474E+01    4.5057E+01    2.1248E+01    1.9905E+01    2.9541E+01    6.0047E+01    4.5006E+01    2.4180E+01    7.3407E+00    7.5076E+00    7.5177E+00    9.6528E+00   
 3.6583E+00    4.5432E+01    4.5080E+01    2.1431E+01    1.9806E+01    2.9496E+01    5.9998E+01    4.4875E+01    2.4399E+01    7.3407E+00    7.4872E+00    7.5055E+00    9.6754E+00   
 4.7595E+00    4.5430E+01    4.5074E+01    2.1166E+01    1.9895E+01    2.9429E+01    5.9871E+01    4.4836E+01    2.4454E+01    7.3611E+00    7.4872E+00    7.4080E+00    9.6302E+00   
 5.8557E+00    4.5422E+01    4.5055E+01    2.0956E+01    2.0010E+01    2.9415E+01    5.9758E+01    4.4775E+01    2.4586E+01    7.3611E+00    7.4872E+00    7.4933E+00    9.6302E+00   
 6.9508E+00    4.5409E+01    4.5032E+01    2.0958E+01    1.9886E+01    2.9362E+01    5.9655E+01    4.4709E+01    2.4680E+01    7.3407E+00    7.5280E+00    7.6152E+00    9.6302E+00   
 8.0469E+00    4.5390E+01    4.5021E+01    2.0831E+01    1.9948E+01    2.9323E+01    5.9602E+01    4.4652E+01    2.4711E+01    7.3407E+00    7.5280E+00    7.5664E+00    9.6979E+00   
 9.1379E+00    4.5362E+01    4.5002E+01    2.0803E+01    2.0039E+01    2.9237E+01    5.9469E+01    4.4587E+01    2.4781E+01    7.3815E+00    7.5076E+00    7.5055E+00    9.6302E+00   
 1.0232E+01    4.5353E+01    4.4987E+01    2.0791E+01    2.0088E+01    2.9205E+01    5.9347E+01    4.4492E+01    2.4942E+01    7.3611E+00    7.5076E+00    7.6274E+00    9.6979E+00   
 1.1327E+01    4.5332E+01    4.4998E+01    2.0800E+01    2.0080E+01    2.9159E+01    5.9214E+01    4.4427E+01    2.5009E+01    7.3407E+00    7.5280E+00    7.5786E+00    9.6754E+00   
 1.2423E+01    4.5305E+01    4.4991E+01    2.0763E+01    2.0015E+01    2.9079E+01    5.9143E+01    4.4317E+01    2.5120E+01    7.3815E+00    7.5280E+00    7.5055E+00    9.6979E+00   
 1.3506E+01    4.5285E+01    4.4998E+01    2.0739E+01    2.0089E+01    2.9057E+01    5.9030E+01    4.4222E+01    2.5251E+01    7.3611E+00    7.4872E+00    7.5299E+00    9.6528E+00   
 1.4601E+01    4.5298E+01    4.5041E+01    2.0889E+01    2.0217E+01    2.8996E+01    5.8886E+01    4.4147E+01    2.5161E+01    7.3815E+00    7.4872E+00    7.5664E+00    9.6754E+00   
 1.5696E+01    4.5256E+01    4.5063E+01    2.1304E+01    2.0088E+01    2.8947E+01    5.8837E+01    4.4116E+01    2.5164E+01    7.3611E+00    7.5280E+00    7.6517E+00    9.6754E+00   
 1.6792E+01    4.5241E+01    4.5066E+01    2.1224E+01    2.0179E+01    2.8912E+01    5.8737E+01    4.4025E+01    2.5081E+01    7.3815E+00    7.4872E+00    7.5786E+00    9.6754E+00   
 1.7889E+01    4.5188E+01    4.5077E+01    2.1038E+01    2.0239E+01    2.8882E+01    5.8621E+01    4.4001E+01    2.5183E+01    7.3611E+00    7.5280E+00    7.5177E+00    9.6754E+00   
 1.8985E+01    4.5161E+01    4.5074E+01    2.0878E+01    2.0232E+01    2.8836E+01    5.8484E+01    4.3911E+01    2.5425E+01    7.3407E+00    7.5280E+00    7.6639E+00    9.6528E+00   
 2.0080E+01    4.5122E+01    4.5066E+01    2.0779E+01    2.0209E+01    2.8761E+01    5.8427E+01    4.3818E+01    2.5593E+01    7.3407E+00    7.5280E+00    7.6152E+00    9.6754E+00   
 2.1177E+01    4.5093E+01    4.5066E+01    2.0696E+01    2.0287E+01    2.8706E+01    5.8319E+01    4.3769E+01    2.5736E+01    7.3611E+00    7.5076E+00    7.5542E+00    9.7204E+00   
