# Run number 24 on Tue May 21 12:21:38 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1559E-01    4.8905E+01    5.5175E+01    1.9830E+01    1.6969E+01    1.3750E+01    7.4663E+01    5.1530E+01    1.5033E+01    4.4683E+00    1.6665E+01    1.5877E+01    1.2772E+01   
 1.4610E+00    4.8908E+01    5.5194E+01    1.9890E+01    1.6918E+01    1.3647E+01    7.4683E+01    5.1421E+01    1.4995E+01    4.4886E+00    1.6624E+01    1.5377E+01    1.2829E+01   
 2.5471E+00    4.8893E+01    5.5215E+01    1.9875E+01    1.6824E+01    1.3442E+01    7.4685E+01    5.1323E+01    1.4960E+01    4.4479E+00    1.6706E+01    1.5645E+01    1.2772E+01   
 3.6512E+00    4.8893E+01    5.5222E+01    1.9854E+01    1.6845E+01    1.3274E+01    7.4672E+01    5.1173E+01    1.4890E+01    4.4683E+00    1.6828E+01    1.5864E+01    1.2744E+01   
 4.7342E+00    4.8911E+01    5.5237E+01    1.9899E+01    1.6816E+01    1.3185E+01    7.4619E+01    5.1111E+01    1.4828E+01    4.4275E+00    1.6706E+01    1.5353E+01    1.2829E+01   
 5.8205E+00    4.8909E+01    5.5243E+01    1.9766E+01    1.6847E+01    1.3049E+01    7.4629E+01    5.0943E+01    1.4757E+01    4.4479E+00    1.6665E+01    1.5365E+01    1.2800E+01   
 6.9077E+00    4.8897E+01    5.5261E+01    1.9740E+01    1.6649E+01    1.2919E+01    7.4652E+01    5.0826E+01    1.4699E+01    4.4275E+00    1.6747E+01    1.5377E+01    1.2800E+01   
 7.9957E+00    4.8908E+01    5.5287E+01    1.9795E+01    1.6689E+01    1.2816E+01    7.4725E+01    5.0689E+01    1.4607E+01    4.4275E+00    1.6686E+01    1.5377E+01    1.2744E+01   
 9.0849E+00    4.8908E+01    5.5298E+01    1.9729E+01    1.6625E+01    1.2784E+01    7.4803E+01    5.0596E+01    1.4539E+01    4.4275E+00    1.6869E+01    1.5462E+01    1.2772E+01   
 1.0173E+01    4.8907E+01    5.5297E+01    1.9719E+01    1.6634E+01    1.2695E+01    7.4866E+01    5.0442E+01    1.4451E+01    4.3868E+00    1.6767E+01    1.5377E+01    1.2744E+01   
 1.1260E+01    4.8919E+01    5.5312E+01    1.9737E+01    1.6500E+01    1.2610E+01    7.4877E+01    5.0323E+01    1.4428E+01    4.4071E+00    1.6930E+01    1.5377E+01    1.2772E+01   
 1.2349E+01    4.8896E+01    5.5305E+01    1.9730E+01    1.6504E+01    1.2502E+01    7.4865E+01    5.0239E+01    1.4331E+01    4.3664E+00    1.6788E+01    1.5487E+01    1.2857E+01   
