# Run number 13 on Tue May 21 10:34:32 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1039E-01    4.5662E+01    5.2564E+01    2.0640E+01    1.5874E+01    1.4147E+01    7.0058E+01    4.7334E+01    1.3402E+01    4.2442E+00    1.5482E+01    1.5024E+01    9.7204E+00   
 1.4558E+00    4.5673E+01    5.2564E+01    2.0958E+01    1.5854E+01    1.4281E+01    7.0019E+01    4.7429E+01    1.3396E+01    4.2238E+00    1.5421E+01    1.4646E+01    9.6528E+00   
 2.5518E+00    4.5688E+01    5.2542E+01    2.0469E+01    1.5858E+01    1.4377E+01    7.0012E+01    4.7494E+01    1.3374E+01    4.2442E+00    1.5441E+01    1.4853E+01    9.6528E+00   
 3.6479E+00    4.5674E+01    5.2558E+01    2.0821E+01    1.5854E+01    1.4434E+01    7.0000E+01    4.7547E+01    1.3378E+01    4.2442E+00    1.5482E+01    1.4829E+01    9.6302E+00   
 4.7431E+00    4.5690E+01    5.2552E+01    2.0595E+01    1.5930E+01    1.4549E+01    7.0014E+01    4.7605E+01    1.3393E+01    4.2442E+00    1.5605E+01    1.4707E+01    9.6979E+00   
 5.8392E+00    4.5695E+01    5.2572E+01    2.0713E+01    1.5966E+01    1.4671E+01    6.9996E+01    4.7688E+01    1.3395E+01    4.2238E+00    1.5605E+01    1.4707E+01    9.6979E+00   
 6.9364E+00    4.5690E+01    5.2567E+01    2.0519E+01    1.5999E+01    1.4772E+01    7.0002E+01    4.7770E+01    1.3413E+01    4.2442E+00    1.5441E+01    1.4780E+01    9.6979E+00   
 8.0325E+00    4.5678E+01    5.2564E+01    2.0551E+01    1.5819E+01    1.4835E+01    7.0021E+01    4.7894E+01    1.3426E+01    4.2442E+00    1.5441E+01    1.4950E+01    9.6302E+00   
 9.1277E+00    4.5654E+01    5.2545E+01    2.0570E+01    1.5926E+01    1.4941E+01    7.0034E+01    4.7912E+01    1.3445E+01    4.2442E+00    1.5482E+01    1.4622E+01    9.6979E+00   
 1.0224E+01    4.5642E+01    5.2532E+01    2.0170E+01    1.5895E+01    1.5039E+01    7.0050E+01    4.8017E+01    1.3463E+01    4.2442E+00    1.5503E+01    1.4877E+01    9.6979E+00   
 1.1315E+01    4.5627E+01    5.2534E+01    1.9963E+01    1.5915E+01    1.5137E+01    7.0121E+01    4.8105E+01    1.3487E+01    4.2849E+00    1.5421E+01    1.5036E+01    9.6979E+00   
 1.2409E+01    4.5646E+01    5.2537E+01    1.9917E+01    1.5963E+01    1.5219E+01    7.0179E+01    4.8197E+01    1.3515E+01    4.2849E+00    1.5401E+01    1.4999E+01    9.6979E+00   
 1.3490E+01    4.5663E+01    5.2547E+01    1.9892E+01    1.5912E+01    1.5309E+01    7.0222E+01    4.8216E+01    1.3514E+01    4.2849E+00    1.5503E+01    1.4902E+01    9.6979E+00   
 1.4584E+01    4.5656E+01    5.2531E+01    1.9904E+01    1.5860E+01    1.5398E+01    7.0231E+01    4.8290E+01    1.3562E+01    4.2645E+00    1.5584E+01    1.4816E+01    9.6979E+00   
 1.5682E+01    4.5668E+01    5.2550E+01    2.0006E+01    1.5989E+01    1.5433E+01    7.0232E+01    4.8395E+01    1.3570E+01    4.2645E+00    1.5401E+01    1.4792E+01    9.6754E+00   
 1.6778E+01    4.5659E+01    5.2546E+01    1.9978E+01    1.6050E+01    1.5521E+01    7.0196E+01    4.8457E+01    1.3613E+01    4.2849E+00    1.5482E+01    1.4634E+01    9.6302E+00   
 1.7873E+01    4.5652E+01    5.2556E+01    2.0620E+01    1.6079E+01    1.5618E+01    7.0212E+01    4.8514E+01    1.3679E+01    4.3053E+00    1.5543E+01    1.5036E+01    9.6528E+00   
 1.8969E+01    4.5661E+01    5.2548E+01    2.1211E+01    1.6036E+01    1.5714E+01    7.0219E+01    4.8562E+01    1.3749E+01    4.3053E+00    1.5584E+01    1.4719E+01    9.6528E+00   
 2.0066E+01    4.5654E+01    5.2570E+01    2.1288E+01    1.6109E+01    1.5762E+01    7.0213E+01    4.8628E+01    1.3767E+01    4.3053E+00    1.5441E+01    1.4816E+01    9.6754E+00   
 2.1156E+01    4.5661E+01    5.2561E+01    2.1001E+01    1.6125E+01    1.5837E+01    7.0205E+01    4.8682E+01    1.3779E+01    4.3257E+00    1.5564E+01    1.4804E+01    9.6754E+00   
 2.2249E+01    4.5668E+01    5.2590E+01    2.0415E+01    1.6163E+01    1.5909E+01    7.0214E+01    4.8716E+01    1.3819E+01    4.3257E+00    1.5543E+01    1.4865E+01    9.7204E+00   
 2.3346E+01    4.5668E+01    5.2595E+01    2.0612E+01    1.6174E+01    1.5994E+01    7.0268E+01    4.8773E+01    1.3848E+01    4.3460E+00    1.5441E+01    1.4695E+01    9.6754E+00   
 2.4441E+01    4.5669E+01    5.2611E+01    2.0765E+01    1.6256E+01    1.6033E+01    7.0324E+01    4.8818E+01    1.3890E+01    4.3257E+00    1.5482E+01    1.4902E+01    9.6528E+00   
 2.5539E+01    4.5670E+01    5.2584E+01    2.0385E+01    1.6208E+01    1.6077E+01    7.0356E+01    4.8863E+01    1.3904E+01    4.3257E+00    1.5503E+01    1.5011E+01    9.6979E+00   
 2.6667E+01    4.5668E+01    5.2603E+01    2.0514E+01    1.6241E+01    1.6129E+01    7.0348E+01    4.8871E+01    1.3946E+01    4.3460E+00    1.5625E+01    1.4682E+01    9.6979E+00   
 2.7754E+01    4.5668E+01    5.2624E+01    2.0501E+01    1.6162E+01    1.6173E+01    7.0335E+01    4.8868E+01    1.3968E+01    4.3664E+00    1.5503E+01    1.4950E+01    9.6754E+00   
 2.8850E+01    4.5652E+01    5.2611E+01    2.0307E+01    1.6268E+01    1.6189E+01    7.0382E+01    4.8875E+01    1.3961E+01    4.3664E+00    1.5503E+01    1.5133E+01    9.6979E+00   
