# Run number 02 on Tue May 21 09:13:58 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1873E-01    2.2500E+01    2.0966E+01    1.9215E+01    1.7521E+01    1.9697E+01    3.1798E+01    2.7629E+01    1.5978E+01    5.3548E+00    5.4786E+00    7.4017E+00    7.1906E+00   
 1.4640E+00    2.2506E+01    2.1100E+01    1.9237E+01    1.7502E+01    1.9730E+01    3.1761E+01    2.7597E+01    1.6044E+01    5.3548E+00    5.4990E+00    7.3895E+00    7.1906E+00   
 2.5581E+00    2.2496E+01    2.1187E+01    1.9195E+01    1.7447E+01    1.9764E+01    3.1684E+01    2.7574E+01    1.6097E+01    5.3548E+00    5.4990E+00    7.4506E+00    7.1296E+00   
 3.6443E+00    2.2496E+01    2.1271E+01    1.9172E+01    1.7432E+01    1.9774E+01    3.1619E+01    2.7509E+01    1.6129E+01    5.3548E+00    5.5194E+00    7.3284E+00    7.1296E+00   
 4.7213E+00    2.2500E+01    2.1314E+01    1.9129E+01    1.7451E+01    1.9824E+01    3.1579E+01    2.7485E+01    1.6142E+01    5.3548E+00    5.4990E+00    7.3651E+00    7.1906E+00   
 5.8115E+00    2.2497E+01    2.1397E+01    1.9117E+01    1.7443E+01    1.9843E+01    3.1524E+01    2.7463E+01    1.6206E+01    5.3548E+00    5.5398E+00    7.4261E+00    7.1602E+00   
 6.8948E+00    2.2521E+01    2.1459E+01    1.9121E+01    1.7444E+01    1.9892E+01    3.1479E+01    2.7374E+01    1.6252E+01    5.3548E+00    5.4990E+00    7.3529E+00    7.0990E+00   
 7.9909E+00    2.2497E+01    2.1485E+01    1.9119E+01    1.7493E+01    1.9920E+01    3.1448E+01    2.7347E+01    1.6274E+01    5.3752E+00    5.5398E+00    7.3773E+00    7.1296E+00   
 9.0818E+00    2.2505E+01    2.1539E+01    1.9078E+01    1.7594E+01    1.9947E+01    3.1401E+01    2.7345E+01    1.6304E+01    5.3548E+00    5.4990E+00    7.3773E+00    7.1906E+00   
 1.0176E+01    2.2513E+01    2.1557E+01    1.9068E+01    1.7650E+01    1.9957E+01    3.1357E+01    2.7324E+01    1.6361E+01    5.3752E+00    5.5194E+00    7.4506E+00    7.1602E+00   
 1.1271E+01    2.2486E+01    2.1593E+01    1.9103E+01    1.7623E+01    1.9987E+01    3.1336E+01    2.7307E+01    1.6409E+01    5.3752E+00    5.5602E+00    7.3162E+00    7.1602E+00   
 1.2367E+01    2.2490E+01    2.1622E+01    1.9033E+01    1.7624E+01    2.0023E+01    3.1311E+01    2.7269E+01    1.6431E+01    5.3752E+00    5.5602E+00    7.4506E+00    7.1602E+00   
