# Run number 10 on Tue May 21 10:12:11 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1508E-01    4.4098E+01    5.1506E+01    1.9944E+01    1.5859E+01    1.5996E+01    6.9257E+01    4.7793E+01    1.3481E+01    4.2645E+00    1.5115E+01    1.4658E+01    8.9488E+00   
 1.4605E+00    4.4102E+01    5.1528E+01    1.9919E+01    1.5950E+01    1.6017E+01    6.9264E+01    4.7821E+01    1.3505E+01    4.3053E+00    1.5115E+01    1.4500E+01    8.9488E+00   
 2.5485E+00    4.4085E+01    5.1541E+01    1.9892E+01    1.5889E+01    1.6064E+01    6.9250E+01    4.7844E+01    1.3522E+01    4.2849E+00    1.5115E+01    1.4585E+01    8.9974E+00   
 3.6366E+00    4.4088E+01    5.1564E+01    1.9937E+01    1.5913E+01    1.6086E+01    6.9214E+01    4.7877E+01    1.3573E+01    4.3257E+00    1.5136E+01    1.4548E+01    8.9488E+00   
 4.7176E+00    4.4086E+01    5.1587E+01    1.9905E+01    1.5999E+01    1.6120E+01    6.9223E+01    4.7882E+01    1.3595E+01    4.3053E+00    1.5156E+01    1.4646E+01    8.9731E+00   
 5.8118E+00    4.4091E+01    5.1577E+01    1.9822E+01    1.5954E+01    1.6172E+01    6.9185E+01    4.7941E+01    1.3639E+01    4.3053E+00    1.5197E+01    1.4902E+01    8.9974E+00   
 6.9011E+00    4.4098E+01    5.1604E+01    1.9912E+01    1.5962E+01    1.6173E+01    6.9177E+01    4.7911E+01    1.3664E+01    4.3053E+00    1.5136E+01    1.4926E+01    8.9974E+00   
 7.9892E+00    4.4090E+01    5.1602E+01    2.0045E+01    1.6014E+01    1.6189E+01    6.9249E+01    4.7921E+01    1.3659E+01    4.3257E+00    1.5156E+01    1.4926E+01    8.9974E+00   
 9.0763E+00    4.4095E+01    5.1621E+01    2.0131E+01    1.6000E+01    1.6201E+01    6.9232E+01    4.7901E+01    1.3643E+01    4.3664E+00    1.5237E+01    1.4938E+01    8.9974E+00   
 1.0164E+01    4.4090E+01    5.1629E+01    2.0062E+01    1.6056E+01    1.6208E+01    6.9269E+01    4.7907E+01    1.3670E+01    4.3460E+00    1.5136E+01    1.4487E+01    8.9731E+00   
 1.1255E+01    4.4109E+01    5.1632E+01    1.9939E+01    1.5973E+01    1.6204E+01    6.9286E+01    4.7887E+01    1.3679E+01    4.3257E+00    1.5156E+01    1.4950E+01    8.9974E+00   
 1.2350E+01    4.4099E+01    5.1636E+01    1.9919E+01    1.6081E+01    1.6225E+01    6.9281E+01    4.7946E+01    1.3713E+01    4.3053E+00    1.5258E+01    1.4950E+01    8.9488E+00   
 1.3437E+01    4.4117E+01    5.1666E+01    1.9786E+01    1.6034E+01    1.6227E+01    6.9307E+01    4.7984E+01    1.3777E+01    4.3257E+00    1.5258E+01    1.4816E+01    8.9974E+00   
