# Run number 07 on Tue May 21 09:48:13 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.2323E-01    3.8607E+01    4.7992E+01    2.0002E+01    1.5117E+01    1.3589E+01    6.3880E+01    4.3055E+01    1.3065E+01    4.1219E+00    1.3830E+01    1.4085E+01    7.2811E+00   
 1.4686E+00    3.8653E+01    4.8005E+01    1.9803E+01    1.5212E+01    1.3731E+01    6.3918E+01    4.3078E+01    1.3049E+01    4.1627E+00    1.3830E+01    1.3708E+01    7.2511E+00   
 2.5546E+00    3.8667E+01    4.8008E+01    1.9684E+01    1.5127E+01    1.3821E+01    6.3924E+01    4.3121E+01    1.3029E+01    4.1627E+00    1.3830E+01    1.3720E+01    7.2209E+00   
 3.6668E+00    3.8680E+01    4.7977E+01    1.9742E+01    1.5093E+01    1.3963E+01    6.3946E+01    4.3203E+01    1.3050E+01    4.1423E+00    1.3932E+01    1.3683E+01    7.2511E+00   
 4.7559E+00    3.8671E+01    4.7967E+01    1.9843E+01    1.5189E+01    1.4025E+01    6.3985E+01    4.3217E+01    1.3086E+01    4.1627E+00    1.3769E+01    1.3732E+01    7.2811E+00   
 5.8439E+00    3.8662E+01    4.7948E+01    1.9697E+01    1.5184E+01    1.4177E+01    6.4039E+01    4.3305E+01    1.3080E+01    4.1423E+00    1.3810E+01    1.4061E+01    7.1906E+00   
 6.9392E+00    3.8674E+01    4.7944E+01    1.9723E+01    1.5150E+01    1.4270E+01    6.4031E+01    4.3394E+01    1.3056E+01    4.1219E+00    1.3851E+01    1.4012E+01    7.2209E+00   
 8.0513E+00    3.8689E+01    4.7954E+01    1.9783E+01    1.5157E+01    1.4402E+01    6.4067E+01    4.3459E+01    1.3102E+01    4.1423E+00    1.3953E+01    1.4110E+01    7.2511E+00   
 9.1404E+00    3.8708E+01    4.7955E+01    1.9807E+01    1.5173E+01    1.4490E+01    6.4106E+01    4.3531E+01    1.3106E+01    4.1423E+00    1.3810E+01    1.4073E+01    7.2511E+00   
 1.0229E+01    3.8695E+01    4.7956E+01    1.9914E+01    1.5179E+01    1.4603E+01    6.4153E+01    4.3605E+01    1.3115E+01    4.1423E+00    1.3871E+01    1.3720E+01    7.1906E+00   
 1.1324E+01    3.8706E+01    4.7966E+01    1.9689E+01    1.5179E+01    1.4728E+01    6.4163E+01    4.3703E+01    1.3160E+01    4.1627E+00    1.3973E+01    1.3793E+01    7.2511E+00   
 1.2412E+01    3.8725E+01    4.7991E+01    1.9683E+01    1.5193E+01    1.4773E+01    6.4187E+01    4.3745E+01    1.3176E+01    4.1831E+00    1.3953E+01    1.3976E+01    7.2209E+00   
 1.3485E+01    3.8737E+01    4.8000E+01    2.0022E+01    1.5211E+01    1.4883E+01    6.4183E+01    4.3826E+01    1.3218E+01    4.1627E+00    1.3810E+01    1.3744E+01    7.2209E+00   
 1.4573E+01    3.8753E+01    4.8009E+01    2.0125E+01    1.5234E+01    1.4964E+01    6.4199E+01    4.3892E+01    1.3226E+01    4.1627E+00    1.3912E+01    1.3732E+01    7.2511E+00   
 1.5662E+01    3.8765E+01    4.8033E+01    1.9810E+01    1.5224E+01    1.5082E+01    6.4224E+01    4.4007E+01    1.3239E+01    4.2034E+00    1.3953E+01    1.4049E+01    7.2511E+00   
 1.6756E+01    3.8762E+01    4.8030E+01    1.9732E+01    1.5268E+01    1.5137E+01    6.4252E+01    4.4019E+01    1.3235E+01    4.1423E+00    1.3871E+01    1.4000E+01    7.2511E+00   
 1.7846E+01    3.8762E+01    4.8046E+01    1.9716E+01    1.5313E+01    1.5219E+01    6.4253E+01    4.4061E+01    1.3233E+01    4.1831E+00    1.3912E+01    1.3842E+01    7.2511E+00   
 1.8934E+01    3.8774E+01    4.8058E+01    1.9537E+01    1.5329E+01    1.5300E+01    6.4261E+01    4.4151E+01    1.3260E+01    4.1831E+00    1.3810E+01    1.3720E+01    7.2511E+00   
 2.0021E+01    3.8790E+01    4.8062E+01    1.9664E+01    1.5256E+01    1.5359E+01    6.4253E+01    4.4198E+01    1.3275E+01    4.1627E+00    1.3851E+01    1.3951E+01    7.2209E+00   
 2.1111E+01    3.8794E+01    4.8068E+01    1.9655E+01    1.5365E+01    1.5418E+01    6.4255E+01    4.4255E+01    1.3301E+01    4.1627E+00    1.3891E+01    1.3951E+01    7.2811E+00   
 2.2206E+01    3.8804E+01    4.8074E+01    1.9658E+01    1.5384E+01    1.5497E+01    6.4213E+01    4.4303E+01    1.3292E+01    4.2034E+00    1.3973E+01    1.4110E+01    7.2209E+00   
 2.3294E+01    3.8815E+01    4.8082E+01    1.9642E+01    1.5335E+01    1.5560E+01    6.4194E+01    4.4324E+01    1.3305E+01    4.1423E+00    1.3871E+01    1.4098E+01    7.2511E+00   
 2.4381E+01    3.8823E+01    4.8100E+01    1.9808E+01    1.5409E+01    1.5614E+01    6.4170E+01    4.4389E+01    1.3301E+01    4.2034E+00    1.4014E+01    1.3988E+01    7.2511E+00   
 2.5470E+01    3.8826E+01    4.8105E+01    1.9863E+01    1.5372E+01    1.5621E+01    6.4152E+01    4.4372E+01    1.3362E+01    4.1627E+00    1.3953E+01    1.4073E+01    7.2811E+00   
 2.6561E+01    3.8833E+01    4.8118E+01    1.9939E+01    1.5354E+01    1.5659E+01    6.4132E+01    4.4427E+01    1.3354E+01    4.2034E+00    1.3851E+01    1.3732E+01    7.2209E+00   
 2.7655E+01    3.8862E+01    4.8130E+01    1.9998E+01    1.5452E+01    1.5716E+01    6.4150E+01    4.4465E+01    1.3333E+01    4.2238E+00    1.3953E+01    1.4110E+01    7.2209E+00   
 2.8799E+01    3.8879E+01    4.8135E+01    2.0015E+01    1.5368E+01    1.5765E+01    6.4207E+01    4.4483E+01    1.3355E+01    4.2238E+00    1.4014E+01    1.3903E+01    7.2811E+00   
 2.9894E+01    3.8907E+01    4.8159E+01    2.0022E+01    1.5416E+01    1.5779E+01    6.4185E+01    4.4469E+01    1.3375E+01    4.2238E+00    1.3871E+01    1.3842E+01    7.2811E+00   
 3.0982E+01    3.8896E+01    4.8182E+01    2.0115E+01    1.5349E+01    1.5839E+01    6.4178E+01    4.4539E+01    1.3409E+01    4.2238E+00    1.3993E+01    1.4098E+01    7.2511E+00   
 3.2063E+01    3.8913E+01    4.8187E+01    1.9922E+01    1.5456E+01    1.5864E+01    6.4156E+01    4.4547E+01    1.3405E+01    4.2238E+00    1.3912E+01    1.4146E+01    7.1906E+00   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.3151E+01    3.8915E+01    4.8199E+01    1.9991E+01    1.5550E+01    1.5887E+01    6.4132E+01    4.4565E+01    1.3422E+01    4.2238E+00    1.3912E+01    1.4098E+01    7.2209E+00   
 3.4241E+01    3.8913E+01    4.8205E+01    1.9902E+01    1.5512E+01    1.5956E+01    6.4139E+01    4.4621E+01    1.3485E+01    4.2238E+00    1.4014E+01    1.4158E+01    7.2811E+00   
 3.5329E+01    3.8922E+01    4.8246E+01    1.9566E+01    1.5559E+01    1.5975E+01    6.4139E+01    4.4649E+01    1.3489E+01    4.2238E+00    1.3932E+01    1.3781E+01    7.2511E+00   
 3.6424E+01    3.8921E+01    4.8247E+01    1.9531E+01    1.5607E+01    1.6005E+01    6.4174E+01    4.4698E+01    1.3510E+01    4.2442E+00    1.3912E+01    1.3781E+01    7.2811E+00   
 3.7512E+01    3.8940E+01    4.8274E+01    1.9846E+01    1.5562E+01    1.6054E+01    6.4218E+01    4.4694E+01    1.3529E+01    4.2238E+00    1.3993E+01    1.3890E+01    7.2811E+00   
 3.8601E+01    3.8937E+01    4.8266E+01    1.9628E+01    1.5581E+01    1.6065E+01    6.4211E+01    4.4723E+01    1.3559E+01    4.2442E+00    1.3953E+01    1.3829E+01    7.2811E+00   
 3.9689E+01    3.8926E+01    4.8271E+01    1.9446E+01    1.5532E+01    1.6106E+01    6.4233E+01    4.4730E+01    1.3586E+01    4.2442E+00    1.3932E+01    1.4158E+01    7.2811E+00   
 4.0785E+01    3.8917E+01    4.8257E+01    1.9485E+01    1.5509E+01    1.6164E+01    6.4313E+01    4.4751E+01    1.3624E+01    4.2645E+00    1.3973E+01    1.4207E+01    7.2511E+00   
 4.1873E+01    3.8935E+01    4.8277E+01    1.9610E+01    1.5547E+01    1.6185E+01    6.4396E+01    4.4772E+01    1.3646E+01    4.2645E+00    1.3953E+01    1.4122E+01    7.2511E+00   
 4.2960E+01    3.8952E+01    4.8271E+01    1.9551E+01    1.5528E+01    1.6230E+01    6.4477E+01    4.4813E+01    1.3681E+01    4.2645E+00    1.3932E+01    1.4037E+01    7.2511E+00   
 4.4048E+01    3.8952E+01    4.8290E+01    1.9601E+01    1.5601E+01    1.6236E+01    6.4485E+01    4.4808E+01    1.3651E+01    4.2645E+00    1.4034E+01    1.4122E+01    7.2209E+00   
 4.5137E+01    3.8969E+01    4.8293E+01    1.9571E+01    1.5592E+01    1.6277E+01    6.4519E+01    4.4828E+01    1.3677E+01    4.2849E+00    1.3932E+01    1.4049E+01    7.3110E+00   
 4.6225E+01    3.8987E+01    4.8306E+01    1.9601E+01    1.5563E+01    1.6269E+01    6.4539E+01    4.4815E+01    1.3699E+01    4.2645E+00    1.4014E+01    1.3878E+01    7.2511E+00   
 4.7313E+01    3.9001E+01    4.8338E+01    1.9470E+01    1.5603E+01    1.6301E+01    6.4540E+01    4.4845E+01    1.3717E+01    4.3053E+00    1.4034E+01    1.3854E+01    7.2209E+00   
 4.8401E+01    3.9024E+01    4.8382E+01    1.9586E+01    1.5661E+01    1.6321E+01    6.4536E+01    4.4891E+01    1.3723E+01    4.2849E+00    1.3993E+01    1.3878E+01    7.2511E+00   
