# Run number 08 on Tue May 21 09:54:18 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 2.9296E-01    4.0964E+01    5.0598E+01    1.9973E+01    1.5911E+01    1.2014E+01    6.7430E+01    4.5994E+01    1.3866E+01    4.3460E+00    1.4789E+01    1.4597E+01    7.2811E+00   
 1.4383E+00    4.0969E+01    5.0593E+01    1.9951E+01    1.5864E+01    1.2011E+01    6.7443E+01    4.5938E+01    1.3813E+01    4.3053E+00    1.4809E+01    1.4353E+01    7.2511E+00   
 2.5344E+00    4.0970E+01    5.0589E+01    1.9805E+01    1.5898E+01    1.2035E+01    6.7464E+01    4.5882E+01    1.3755E+01    4.2849E+00    1.4789E+01    1.4305E+01    7.2811E+00   
 3.6146E+00    4.0991E+01    5.0589E+01    1.9840E+01    1.5794E+01    1.2042E+01    6.7463E+01    4.5776E+01    1.3713E+01    4.3053E+00    1.4932E+01    1.4597E+01    7.2811E+00   
 4.7017E+00    4.0994E+01    5.0589E+01    1.9902E+01    1.5822E+01    1.2120E+01    6.7484E+01    4.5705E+01    1.3698E+01    4.2849E+00    1.4789E+01    1.4695E+01    7.2511E+00   
 5.7898E+00    4.1015E+01    5.0590E+01    2.0128E+01    1.5770E+01    1.2252E+01    6.7495E+01    4.5681E+01    1.3635E+01    4.2849E+00    1.4830E+01    1.4548E+01    7.2811E+00   
 6.8870E+00    4.1006E+01    5.0590E+01    1.9981E+01    1.5722E+01    1.2388E+01    6.7511E+01    4.5630E+01    1.3602E+01    4.2645E+00    1.4911E+01    1.4402E+01    7.2811E+00   
 7.9751E+00    4.1025E+01    5.0589E+01    1.9910E+01    1.5723E+01    1.2469E+01    6.7515E+01    4.5573E+01    1.3596E+01    4.2645E+00    1.4768E+01    1.4232E+01    7.2511E+00   
 9.0623E+00    4.1022E+01    5.0591E+01    1.9830E+01    1.5665E+01    1.2639E+01    6.7536E+01    4.5526E+01    1.3545E+01    4.2442E+00    1.4932E+01    1.4268E+01    7.2511E+00   
 1.0150E+01    4.1044E+01    5.0606E+01    1.9991E+01    1.5643E+01    1.2804E+01    6.7560E+01    4.5508E+01    1.3518E+01    4.2238E+00    1.4870E+01    1.4256E+01    7.3110E+00   
