# Run number 05 on Tue May 21 09:33:28 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 2.9774E-01    3.0282E+01    2.7076E+01    2.0025E+01    1.7327E+01    2.1785E+01    4.4102E+01    3.3900E+01    1.6524E+01    6.0067E+00    6.1517E+00    7.3351E+00    7.1602E+00   
 1.4431E+00    3.0256E+01    2.6981E+01    2.0021E+01    1.7413E+01    2.1968E+01    4.4005E+01    3.3892E+01    1.6777E+01    6.0067E+00    6.1517E+00    7.4081E+00    7.0990E+00   
 2.5391E+00    3.0253E+01    2.7002E+01    2.0000E+01    1.7280E+01    2.2051E+01    4.3923E+01    3.3866E+01    1.7175E+01    6.0067E+00    6.1109E+00    7.3108E+00    7.1296E+00   
 3.6652E+00    3.0217E+01    2.7147E+01    1.9994E+01    1.7347E+01    2.2136E+01    4.3815E+01    3.3832E+01    1.7409E+01    6.0067E+00    6.1313E+00    7.3960E+00    7.1906E+00   
 4.7465E+00    3.0223E+01    2.7376E+01    1.9991E+01    1.7342E+01    2.2224E+01    4.3794E+01    3.3811E+01    1.7555E+01    6.0067E+00    6.1517E+00    7.4446E+00    7.1906E+00   
 5.8346E+00    3.0220E+01    2.7682E+01    2.0024E+01    1.7356E+01    2.2266E+01    4.3701E+01    3.3755E+01    1.7634E+01    6.0271E+00    6.1517E+00    7.3473E+00    7.1906E+00   
 6.9237E+00    3.0207E+01    2.7841E+01    2.0042E+01    1.7352E+01    2.2292E+01    4.3621E+01    3.3675E+01    1.7874E+01    6.0271E+00    6.1517E+00    7.4446E+00    7.1602E+00   
 8.0199E+00    3.0205E+01    2.8121E+01    2.0057E+01    1.7391E+01    2.2313E+01    4.3575E+01    3.3656E+01    1.8129E+01    6.0679E+00    6.1924E+00    7.3473E+00    7.1602E+00   
 9.1071E+00    3.0204E+01    2.8368E+01    2.0084E+01    1.7349E+01    2.2327E+01    4.3494E+01    3.3637E+01    1.8387E+01    6.0679E+00    6.2128E+00    7.3351E+00    7.1906E+00   
 1.0195E+01    3.0160E+01    2.8575E+01    2.0085E+01    1.7346E+01    2.2340E+01    4.3423E+01    3.3599E+01    1.8544E+01    6.0475E+00    6.1924E+00    7.3595E+00    7.1296E+00   
