# Run number 09 on Tue May 21 10:03:21 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1599E-01    4.1957E+01    4.2118E+01    2.1011E+01    1.8821E+01    2.6687E+01    5.5234E+01    4.1094E+01    2.5159E+01    7.1370E+00    7.3036E+00    7.4933E+00    8.9731E+00   
 1.4633E+00    4.1920E+01    4.2128E+01    2.1015E+01    1.8850E+01    2.6662E+01    5.5124E+01    4.0990E+01    2.5191E+01    7.1574E+00    7.3240E+00    7.5055E+00    8.8998E+00   
 2.5654E+00    4.1906E+01    4.2117E+01    2.0940E+01    1.8807E+01    2.6635E+01    5.5006E+01    4.0973E+01    2.4985E+01    7.1574E+00    7.3240E+00    7.5542E+00    8.8753E+00   
 3.6616E+00    4.1897E+01    4.2126E+01    2.0937E+01    1.8778E+01    2.6607E+01    5.4968E+01    4.0883E+01    2.4913E+01    7.1777E+00    7.3240E+00    7.6395E+00    8.9243E+00   
 4.7567E+00    4.1849E+01    4.2087E+01    2.0879E+01    1.8808E+01    2.6606E+01    5.4852E+01    4.0781E+01    2.4952E+01    7.1370E+00    7.3036E+00    7.5421E+00    8.9731E+00   
 5.8529E+00    4.1853E+01    4.2066E+01    2.0874E+01    1.8893E+01    2.6603E+01    5.4761E+01    4.0731E+01    2.4968E+01    7.1574E+00    7.3036E+00    7.5055E+00    8.9974E+00   
 6.9502E+00    4.1840E+01    4.2032E+01    2.0827E+01    1.8839E+01    2.6605E+01    5.4670E+01    4.0695E+01    2.4922E+01    7.1574E+00    7.3036E+00    7.5055E+00    8.9488E+00   
 8.0462E+00    4.1821E+01    4.1980E+01    2.0829E+01    1.8839E+01    2.6584E+01    5.4617E+01    4.0635E+01    2.4901E+01    7.1574E+00    7.3036E+00    7.6274E+00    8.9974E+00   
 9.1413E+00    4.1818E+01    4.1971E+01    2.0873E+01    1.8873E+01    2.6570E+01    5.4522E+01    4.0581E+01    2.4903E+01    7.1370E+00    7.3240E+00    7.5786E+00    8.9974E+00   
 1.0237E+01    4.1790E+01    4.1955E+01    2.0889E+01    1.8943E+01    2.6567E+01    5.4414E+01    4.0527E+01    2.4961E+01    7.1370E+00    7.3036E+00    7.5421E+00    8.9488E+00   
 1.1335E+01    4.1777E+01    4.1934E+01    2.0954E+01    1.8954E+01    2.6524E+01    5.4299E+01    4.0482E+01    2.4936E+01    7.1574E+00    7.2832E+00    7.4933E+00    8.9243E+00   
 1.2431E+01    4.1757E+01    4.1889E+01    2.1019E+01    1.8923E+01    2.6499E+01    5.4243E+01    4.0395E+01    2.4992E+01    7.1574E+00    7.3036E+00    7.6395E+00    8.9731E+00   
 1.3512E+01    4.1712E+01    4.1880E+01    2.1062E+01    1.8911E+01    2.6497E+01    5.4143E+01    4.0309E+01    2.4993E+01    7.1370E+00    7.3036E+00    7.4933E+00    8.9731E+00   
 1.4606E+01    4.1701E+01    4.1862E+01    2.1145E+01    1.8978E+01    2.6473E+01    5.4030E+01    4.0271E+01    2.4907E+01    7.1574E+00    7.2832E+00    7.5421E+00    8.9731E+00   
 1.5703E+01    4.1669E+01    4.1837E+01    2.1140E+01    1.8978E+01    2.6489E+01    5.3949E+01    4.0239E+01    2.4916E+01    7.1370E+00    7.2832E+00    7.6395E+00    8.9974E+00   
 1.6799E+01    4.1662E+01    4.1832E+01    2.1111E+01    1.8986E+01    2.6502E+01    5.3916E+01    4.0193E+01    2.5001E+01    7.1370E+00    7.2832E+00    7.5055E+00    8.9488E+00   
 1.7894E+01    4.1655E+01    4.1799E+01    2.0825E+01    2.1343E+01    2.6490E+01    5.3838E+01    4.0114E+01    2.5212E+01    7.1166E+00    7.2832E+00    7.5421E+00    8.9731E+00   
 1.8991E+01    4.1630E+01    4.1790E+01    2.0625E+01    2.2983E+01    2.6465E+01    5.3739E+01    4.0060E+01    2.5370E+01    7.1166E+00    7.2424E+00    7.6152E+00    8.9974E+00   
 2.0088E+01    4.1608E+01    4.1781E+01    2.0344E+01    2.3671E+01    2.6465E+01    5.3637E+01    3.9951E+01    2.5403E+01    7.0351E+00    7.1812E+00    7.5908E+00    8.9731E+00   
 2.1184E+01    4.1587E+01    4.1751E+01    2.0198E+01    2.3767E+01    2.6438E+01    5.3598E+01    3.9821E+01    2.5371E+01    6.9740E+00    7.1200E+00    7.4568E+00    8.9488E+00   
 2.2287E+01    4.1541E+01    4.1684E+01    2.0239E+01    2.3828E+01    2.6412E+01    5.3499E+01    3.9711E+01    2.5289E+01    6.9333E+00    7.0589E+00    7.4568E+00    8.9488E+00   
 2.3375E+01    4.1541E+01    4.1685E+01    2.0246E+01    2.3796E+01    2.6398E+01    5.3420E+01    3.9628E+01    2.5195E+01    6.8722E+00    7.0181E+00    7.4446E+00    8.9974E+00   
 2.4472E+01    4.1528E+01    4.1649E+01    2.0163E+01    2.3789E+01    2.6363E+01    5.3329E+01    3.9473E+01    2.5096E+01    6.8722E+00    6.9977E+00    7.4933E+00    8.9731E+00   
 2.5568E+01    4.1486E+01    4.1611E+01    2.0047E+01    2.3608E+01    2.6324E+01    5.3274E+01    3.9298E+01    2.5009E+01    6.8110E+00    6.9365E+00    7.5664E+00    9.0216E+00   
 2.6713E+01    4.1484E+01    4.1561E+01    1.9845E+01    2.3474E+01    2.6281E+01    5.3186E+01    3.9178E+01    2.4960E+01    6.7703E+00    6.8957E+00    7.5299E+00    8.9731E+00   
 2.7799E+01    4.1444E+01    4.1534E+01    1.9794E+01    2.3360E+01    2.6271E+01    5.3123E+01    3.9029E+01    2.4888E+01    6.7499E+00    6.8753E+00    7.5421E+00    9.0216E+00   
 2.8928E+01    4.1427E+01    4.1516E+01    1.9848E+01    2.3325E+01    2.6266E+01    5.3045E+01    3.8983E+01    2.4825E+01    6.7092E+00    6.8345E+00    7.5664E+00    8.9488E+00   
 3.0005E+01    4.1396E+01    4.1467E+01    1.9872E+01    2.3225E+01    2.6226E+01    5.3002E+01    3.8864E+01    2.4784E+01    6.7092E+00    6.7937E+00    7.5786E+00    8.9488E+00   
 3.1083E+01    4.1396E+01    4.1458E+01    1.9842E+01    2.3159E+01    2.6192E+01    5.2910E+01    3.8699E+01    2.4685E+01    6.6481E+00    6.7733E+00    7.5542E+00    8.9731E+00   
 3.2169E+01    4.1387E+01    4.1449E+01    1.9840E+01    2.3104E+01    2.6174E+01    5.2834E+01    3.8653E+01    2.4586E+01    6.6073E+00    6.7529E+00    7.5786E+00    8.9488E+00   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.3249E+01    4.1366E+01    4.1413E+01    1.9822E+01    2.3057E+01    2.6151E+01    5.2793E+01    3.8382E+01    2.4525E+01    6.5870E+00    6.7121E+00    7.5542E+00    8.9488E+00   
 3.4339E+01    4.1339E+01    4.1393E+01    1.9738E+01    2.2903E+01    2.6119E+01    5.2713E+01    3.8022E+01    2.4482E+01    6.5666E+00    6.7121E+00    7.4568E+00    8.9731E+00   
 3.5419E+01    4.1315E+01    4.1408E+01    1.9801E+01    2.2811E+01    2.6095E+01    5.2642E+01    3.7694E+01    2.4392E+01    6.5666E+00    6.6917E+00    7.4446E+00    8.9731E+00   
 3.6498E+01    4.1274E+01    4.1363E+01    1.9789E+01    2.2699E+01    2.6068E+01    5.2552E+01    3.7529E+01    2.4291E+01    6.5462E+00    6.6306E+00    7.4811E+00    8.9731E+00   
 3.7579E+01    4.1271E+01    4.1363E+01    1.9837E+01    2.2651E+01    2.6035E+01    5.2510E+01    3.7245E+01    2.4199E+01    6.4851E+00    6.6509E+00    7.5786E+00    8.9974E+00   
 3.8660E+01    4.1258E+01    4.1361E+01    1.9897E+01    2.2645E+01    2.6013E+01    5.2433E+01    3.6934E+01    2.4175E+01    6.4851E+00    6.6102E+00    7.5542E+00    8.9974E+00   
 3.9740E+01    4.1201E+01    4.1345E+01    2.0056E+01    2.2556E+01    2.6002E+01    5.2365E+01    3.6797E+01    2.4117E+01    6.4647E+00    6.5898E+00    7.4933E+00    8.9974E+00   
 4.0819E+01    4.1184E+01    4.1328E+01    1.9739E+01    2.2549E+01    2.5972E+01    5.2325E+01    3.6523E+01    2.4032E+01    6.4444E+00    6.5898E+00    7.4690E+00    8.9731E+00   
 4.1899E+01    4.1164E+01    4.1305E+01    1.9862E+01    2.2448E+01    2.5947E+01    5.2220E+01    3.6243E+01    2.4000E+01    6.4240E+00    6.5490E+00    7.5542E+00    8.9731E+00   
 4.2980E+01    4.1099E+01    4.1256E+01    1.9871E+01    2.2362E+01    2.5923E+01    5.2145E+01    3.5979E+01    2.3940E+01    6.3832E+00    6.5490E+00    7.4811E+00    8.9731E+00   
 4.4076E+01    4.1085E+01    4.1240E+01    1.9824E+01    2.2326E+01    2.5883E+01    5.2057E+01    3.5848E+01    2.3841E+01    6.3832E+00    6.5082E+00    7.5542E+00    9.0216E+00   
 4.5162E+01    4.1075E+01    4.1240E+01    1.9670E+01    2.2331E+01    2.5857E+01    5.2015E+01    3.5598E+01    2.3756E+01    6.3832E+00    6.4878E+00    7.4568E+00    8.9731E+00   
 4.6252E+01    4.1076E+01    4.1220E+01    1.9712E+01    2.2225E+01    2.5824E+01    5.1927E+01    3.5339E+01    2.3698E+01    6.3425E+00    6.4878E+00    7.5664E+00    8.9731E+00   
 4.7333E+01    4.1059E+01    4.1225E+01    1.9707E+01    2.2237E+01    2.5828E+01    5.1851E+01    3.5119E+01    2.3624E+01    6.3425E+00    6.4674E+00    7.4568E+00    9.0216E+00   
 4.8419E+01    4.1044E+01    4.1198E+01    1.9681E+01    2.2189E+01    2.5805E+01    5.1782E+01    3.5031E+01    2.3580E+01    6.3221E+00    6.4878E+00    7.5786E+00    8.9731E+00   
 4.9500E+01    4.1040E+01    4.1181E+01    1.9626E+01    2.2150E+01    2.5788E+01    5.1728E+01    3.4810E+01    2.3550E+01    6.3017E+00    6.4470E+00    7.5299E+00    8.9731E+00   
 5.0580E+01    4.1012E+01    4.1138E+01    1.9600E+01    2.2090E+01    2.5766E+01    5.1651E+01    3.4593E+01    2.3461E+01    6.3221E+00    6.4266E+00    7.4690E+00    8.9731E+00   
 5.1661E+01    4.0982E+01    4.1119E+01    1.9554E+01    2.2038E+01    2.5736E+01    5.1564E+01    3.4493E+01    2.3429E+01    6.2814E+00    6.4266E+00    7.5664E+00    8.9731E+00   
 5.2748E+01    4.0972E+01    4.1103E+01    1.9596E+01    2.2003E+01    2.5718E+01    5.1540E+01    3.4297E+01    2.3362E+01    6.2610E+00    6.4062E+00    7.5786E+00    8.9731E+00   
 5.3843E+01    4.0943E+01    4.1074E+01    1.9532E+01    2.1934E+01    2.5702E+01    5.1464E+01    3.4098E+01    2.3321E+01    6.2610E+00    6.3858E+00    7.4933E+00    8.9731E+00   
 5.4929E+01    4.0933E+01    4.1059E+01    1.9512E+01    2.1927E+01    2.5712E+01    5.1400E+01    3.3933E+01    2.3271E+01    6.2406E+00    6.3654E+00    7.5664E+00    8.9488E+00   
 5.6012E+01    4.0906E+01    4.1047E+01    1.9471E+01    2.1873E+01    2.5694E+01    5.1305E+01    3.3837E+01    2.3208E+01    6.2610E+00    6.3858E+00    7.5786E+00    8.9974E+00   
 5.7108E+01    4.0904E+01    4.1020E+01    1.9675E+01    2.1823E+01    2.5667E+01    5.1270E+01    3.3641E+01    2.3134E+01    6.2406E+00    6.3654E+00    7.4690E+00    8.9974E+00   
 5.8204E+01    4.0882E+01    4.0996E+01    1.9895E+01    2.1784E+01    2.5639E+01    5.1173E+01    3.3438E+01    2.3100E+01    6.2203E+00    6.3654E+00    7.4568E+00    8.9974E+00   
 5.9300E+01    4.0888E+01    4.1013E+01    1.9829E+01    2.1755E+01    2.5608E+01    5.1086E+01    3.3245E+01    2.3028E+01    6.1999E+00    6.3246E+00    7.4568E+00    8.9974E+00   
 6.0428E+01    4.0871E+01    4.0983E+01    2.0200E+01    2.1719E+01    2.5586E+01    5.0973E+01    3.3134E+01    2.2978E+01    6.1795E+00    6.3450E+00    7.4568E+00    8.9974E+00   
 6.1517E+01    4.0865E+01    4.0983E+01    2.0366E+01    2.1690E+01    2.5544E+01    5.0927E+01    3.2934E+01    2.2916E+01    6.1999E+00    6.3246E+00    1.4756E+01    8.9731E+00   
 6.2637E+01    4.0877E+01    4.0960E+01    2.0456E+01    2.1662E+01    2.5512E+01    5.0836E+01    3.2762E+01    2.2883E+01    6.1795E+00    6.3042E+00    2.4954E+01    8.9731E+00   
 6.3724E+01    4.0850E+01    4.0952E+01    2.0517E+01    2.1646E+01    2.5568E+01    5.1247E+01    3.2546E+01    2.2832E+01    5.6702E+00    8.3438E+00    1.1990E+01    8.9731E+00   
 6.4807E+01    4.0857E+01    4.0962E+01    2.0666E+01    2.1557E+01    2.5830E+01    5.1994E+01    3.2396E+01    2.2622E+01    5.5276E+00    9.8123E+00    1.2440E+01    8.9731E+00   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 6.5895E+01    4.0852E+01    4.1059E+01    2.0630E+01    2.1494E+01    2.5892E+01    5.2405E+01    3.2315E+01    2.2264E+01    5.4665E+00    1.0934E+01    1.3196E+01    8.9731E+00   
 6.6967E+01    4.0828E+01    4.1146E+01    2.0678E+01    2.1307E+01    2.4842E+01    5.3365E+01    3.3225E+01    2.2071E+01    5.2628E+00    1.1546E+01    1.3464E+01    8.9488E+00   
 6.8047E+01    4.0797E+01    4.1215E+01    2.0536E+01    2.1037E+01    2.3918E+01    5.4402E+01    3.4310E+01    2.1673E+01    5.1609E+00    1.1974E+01    1.3647E+01    8.9974E+00   
