# Run number 20 on Tue May 21 11:51:01 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.0624E-01    4.2501E+01    5.0566E+01    1.9916E+01    1.6076E+01    1.2267E+01    6.8690E+01    4.6199E+01    1.3969E+01    4.3664E+00    1.4952E+01    1.4634E+01    1.0289E+01   
 1.4436E+00    4.2532E+01    5.0586E+01    2.0257E+01    1.6061E+01    1.2242E+01    6.8737E+01    4.6133E+01    1.3902E+01    4.3460E+00    1.4850E+01    1.4439E+01    1.0324E+01   
 2.5297E+00    4.2546E+01    5.0614E+01    2.0350E+01    1.6010E+01    1.2266E+01    6.8754E+01    4.6038E+01    1.3872E+01    4.3460E+00    1.4748E+01    1.4353E+01    1.0359E+01   
 3.6116E+00    4.2561E+01    5.0634E+01    2.0574E+01    1.5993E+01    1.2376E+01    6.8777E+01    4.5967E+01    1.3832E+01    4.3257E+00    1.4830E+01    1.4329E+01    1.0289E+01   
 4.6998E+00    4.2584E+01    5.0621E+01    2.0403E+01    1.5995E+01    1.2486E+01    6.8793E+01    4.5918E+01    1.3788E+01    4.3257E+00    1.4830E+01    1.4756E+01    1.0324E+01   
 5.7870E+00    4.2591E+01    5.0634E+01    2.0159E+01    1.6023E+01    1.2635E+01    6.8836E+01    4.5856E+01    1.3728E+01    4.3053E+00    1.4932E+01    1.4682E+01    1.0289E+01   
 6.8742E+00    4.2589E+01    5.0663E+01    2.0524E+01    1.5980E+01    1.2684E+01    6.8861E+01    4.5788E+01    1.3704E+01    4.2645E+00    1.4789E+01    1.4658E+01    1.0218E+01   
 7.9624E+00    4.2599E+01    5.0667E+01    2.0320E+01    1.5963E+01    1.2803E+01    6.8875E+01    4.5696E+01    1.3632E+01    4.2849E+00    1.4870E+01    1.4731E+01    1.0218E+01   
 9.0515E+00    4.2617E+01    5.0681E+01    2.0189E+01    1.5877E+01    1.2963E+01    6.8902E+01    4.5677E+01    1.3574E+01    4.2645E+00    1.4789E+01    1.4719E+01    1.0253E+01   
 1.0140E+01    4.2629E+01    5.0676E+01    2.0071E+01    1.5810E+01    1.3021E+01    6.8914E+01    4.5623E+01    1.3501E+01    4.2849E+00    1.4830E+01    1.4512E+01    1.0324E+01   
 1.1227E+01    4.2641E+01    5.0673E+01    2.0152E+01    1.5852E+01    1.3187E+01    6.8961E+01    4.5599E+01    1.3511E+01    4.2645E+00    1.4789E+01    1.4293E+01    1.0289E+01   
 1.2331E+01    4.2651E+01    5.0658E+01    2.0191E+01    1.5810E+01    1.3340E+01    6.8976E+01    4.5563E+01    1.3457E+01    4.2645E+00    1.4870E+01    1.4280E+01    1.0324E+01   
