# Run number 18 on Tue May 21 11:33:01 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.0085E-01    3.4272E+01    4.2505E+01    2.0208E+01    1.5942E+01    1.6010E+01    6.0255E+01    3.9390E+01    1.3521E+01    4.2442E+00    1.1995E+01    1.3147E+01    1.0075E+01   
 1.4462E+00    3.4280E+01    4.2523E+01    2.0176E+01    1.5993E+01    1.5967E+01    6.0268E+01    3.9408E+01    1.3557E+01    4.2442E+00    1.2035E+01    1.3171E+01    1.0075E+01   
 2.5402E+00    3.4299E+01    4.2541E+01    2.0247E+01    1.5985E+01    1.5938E+01    6.0282E+01    3.9412E+01    1.3583E+01    4.2442E+00    1.2076E+01    1.2867E+01    1.0003E+01   
 3.6285E+00    3.4350E+01    4.2540E+01    2.0212E+01    1.5961E+01    1.5892E+01    6.0263E+01    3.9456E+01    1.3555E+01    4.2442E+00    1.2056E+01    1.2818E+01    1.0075E+01   
 4.7175E+00    3.4383E+01    4.2563E+01    2.0230E+01    1.6027E+01    1.5855E+01    6.0262E+01    3.9440E+01    1.3565E+01    4.2442E+00    1.2137E+01    1.3123E+01    1.0075E+01   
 5.8057E+00    3.4400E+01    4.2584E+01    2.0122E+01    1.6009E+01    1.5768E+01    6.0246E+01    3.9455E+01    1.3586E+01    4.2645E+00    1.2137E+01    1.2830E+01    1.0039E+01   
 6.9008E+00    3.4418E+01    4.2611E+01    2.0039E+01    1.5989E+01    1.5775E+01    6.0310E+01    3.9481E+01    1.3607E+01    4.2442E+00    1.2097E+01    1.3208E+01    1.0039E+01   
 7.9970E+00    3.4383E+01    4.2596E+01    1.9934E+01    1.5969E+01    1.5714E+01    6.0295E+01    3.9489E+01    1.3624E+01    4.2442E+00    1.2137E+01    1.3220E+01    1.0075E+01   
 9.0781E+00    3.4426E+01    4.2621E+01    2.0054E+01    1.5942E+01    1.5636E+01    6.0275E+01    3.9504E+01    1.3655E+01    4.2238E+00    1.2056E+01    1.2964E+01    1.0003E+01   
 1.0166E+01    3.4432E+01    4.2625E+01    2.0090E+01    1.5974E+01    1.5575E+01    6.0263E+01    3.9524E+01    1.3667E+01    4.2442E+00    1.2137E+01    1.2867E+01    1.0075E+01   
 1.1253E+01    3.4455E+01    4.2661E+01    2.0133E+01    1.5967E+01    1.5537E+01    6.0273E+01    3.9535E+01    1.3673E+01    4.2645E+00    1.2137E+01    1.3159E+01    1.0003E+01   
 1.2350E+01    3.4492E+01    4.2696E+01    2.0165E+01    1.5943E+01    1.5453E+01    6.0238E+01    3.9546E+01    1.3704E+01    4.2645E+00    1.2117E+01    1.2964E+01    1.0075E+01   
 1.3439E+01    3.4503E+01    4.2675E+01    2.0207E+01    1.5897E+01    1.5403E+01    6.0269E+01    3.9561E+01    1.3698E+01    4.2442E+00    1.2117E+01    1.2977E+01    1.0111E+01   
 1.4523E+01    3.4484E+01    4.2697E+01    2.0614E+01    1.5934E+01    1.5358E+01    6.0262E+01    3.9601E+01    1.3684E+01    4.2442E+00    1.2117E+01    1.3171E+01    1.0075E+01   
 1.5600E+01    3.4483E+01    4.2706E+01    2.0911E+01    1.5932E+01    1.5260E+01    6.0260E+01    3.9611E+01    1.3706E+01    4.2849E+00    1.2219E+01    1.3269E+01    1.0003E+01   
 1.6694E+01    3.4515E+01    4.2734E+01    2.0771E+01    1.5880E+01    1.5202E+01    6.0273E+01    3.9623E+01    1.3720E+01    4.2645E+00    1.2117E+01    1.3135E+01    1.0111E+01   
 1.7783E+01    3.4517E+01    4.2759E+01    2.0466E+01    1.5913E+01    1.5107E+01    6.0274E+01    3.9613E+01    1.3707E+01    4.2645E+00    1.2158E+01    1.2891E+01    1.0039E+01   
 1.8871E+01    3.4556E+01    4.2754E+01    2.0373E+01    1.5928E+01    1.5045E+01    6.0257E+01    3.9637E+01    1.3688E+01    4.2645E+00    1.2219E+01    1.2928E+01    1.0039E+01   
 1.9960E+01    3.4598E+01    4.2758E+01    2.0511E+01    1.5838E+01    1.4969E+01    6.0278E+01    3.9679E+01    1.3682E+01    4.2645E+00    1.2137E+01    1.2891E+01    1.0111E+01   
 2.1048E+01    3.4626E+01    4.2815E+01    2.0665E+01    1.5850E+01    1.4882E+01    6.0243E+01    3.9654E+01    1.3673E+01    4.2645E+00    1.2280E+01    1.3208E+01    1.0003E+01   
 2.2136E+01    3.4624E+01    4.2835E+01    2.0609E+01    1.5849E+01    1.4787E+01    6.0255E+01    3.9667E+01    1.3674E+01    4.2645E+00    1.2219E+01    1.3269E+01    1.0039E+01   
 2.3226E+01    3.4661E+01    4.2871E+01    2.0385E+01    1.5851E+01    1.4752E+01    6.0272E+01    3.9684E+01    1.3676E+01    4.2645E+00    1.2199E+01    1.3220E+01    1.0039E+01   
