# Run number 22 on Tue May 21 12:07:34 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.2131E-01    4.6455E+01    5.4430E+01    1.9956E+01    1.5992E+01    1.3772E+01    7.3933E+01    4.8647E+01    1.3403E+01    4.2238E+00    1.6339E+01    1.5462E+01    1.0289E+01   
 1.4667E+00    4.6461E+01    5.4388E+01    2.0196E+01    1.5943E+01    1.3934E+01    7.3963E+01    4.8658E+01    1.3380E+01    4.2645E+00    1.6155E+01    1.5097E+01    1.0324E+01   
 2.5607E+00    4.6456E+01    5.4382E+01    2.0213E+01    1.5905E+01    1.4046E+01    7.4042E+01    4.8761E+01    1.3393E+01    4.2034E+00    1.6237E+01    1.5194E+01    1.0359E+01   
 3.6427E+00    4.6460E+01    5.4334E+01    1.9923E+01    1.5925E+01    1.4200E+01    7.4101E+01    4.8853E+01    1.3394E+01    4.2238E+00    1.6155E+01    1.5243E+01    1.0253E+01   
 4.7319E+00    4.6467E+01    5.4321E+01    1.9898E+01    1.5915E+01    1.4373E+01    7.4134E+01    4.8955E+01    1.3451E+01    4.2442E+00    1.6318E+01    1.5292E+01    1.0182E+01   
 5.8262E+00    4.6471E+01    5.4313E+01    1.9989E+01    1.5962E+01    1.4538E+01    7.4185E+01    4.9037E+01    1.3526E+01    4.2238E+00    1.6176E+01    1.5243E+01    1.0218E+01   
 6.9214E+00    4.6467E+01    5.4299E+01    1.9939E+01    1.5833E+01    1.4614E+01    7.4238E+01    4.9148E+01    1.3590E+01    4.2442E+00    1.6094E+01    1.4950E+01    1.0253E+01   
 8.0176E+00    4.6495E+01    5.4301E+01    1.9846E+01    1.6008E+01    1.4752E+01    7.4279E+01    4.9263E+01    1.3604E+01    4.2645E+00    1.6216E+01    1.4999E+01    1.0359E+01   
 9.1068E+00    4.6495E+01    5.4274E+01    1.9792E+01    1.6057E+01    1.4896E+01    7.4295E+01    4.9416E+01    1.3584E+01    4.2645E+00    1.6094E+01    1.4987E+01    1.0253E+01   
 1.0195E+01    4.6486E+01    5.4277E+01    1.9861E+01    1.6102E+01    1.5045E+01    7.4354E+01    4.9471E+01    1.3601E+01    4.2645E+00    1.6135E+01    1.5048E+01    1.0253E+01   
 1.1290E+01    4.6517E+01    5.4276E+01    1.9895E+01    1.6001E+01    1.5099E+01    7.4346E+01    4.9597E+01    1.3649E+01    4.2645E+00    1.6135E+01    1.5438E+01    1.0324E+01   
 1.2386E+01    4.6527E+01    5.4260E+01    1.9930E+01    1.6206E+01    1.5231E+01    7.4299E+01    4.9726E+01    1.3672E+01    4.2849E+00    1.6155E+01    1.5340E+01    1.0253E+01   
 1.3475E+01    4.6528E+01    5.4274E+01    1.9991E+01    1.6093E+01    1.5358E+01    7.4274E+01    4.9831E+01    1.3674E+01    4.2645E+00    1.6114E+01    1.4975E+01    1.0359E+01   
 1.4565E+01    4.6519E+01    5.4273E+01    2.0140E+01    1.6234E+01    1.5495E+01    7.4219E+01    4.9894E+01    1.3733E+01    4.2849E+00    1.6094E+01    1.5462E+01    1.0253E+01   
 1.5651E+01    4.6514E+01    5.4257E+01    2.0014E+01    1.6256E+01    1.5552E+01    7.4159E+01    5.0021E+01    1.3749E+01    4.2849E+00    1.6257E+01    1.5487E+01    1.0324E+01   
