# Run number 04 on Wed May 22 16:02:08 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.2337E-01    4.5192E+01    5.0975E+01    1.9818E+01    1.6127E+01    1.4388E+01    7.0464E+01    4.8164E+01    1.4475E+01    4.3816E+00    1.5008E+01    1.4790E+01    1.3887E+01   
 1.4687E+00    4.5194E+01    5.1011E+01    1.9782E+01    1.6158E+01    1.4054E+01    7.0391E+01    4.8127E+01    1.4443E+01    4.4223E+00    1.5069E+01    1.4582E+01    1.3887E+01   
 2.5628E+00    4.5187E+01    5.1011E+01    1.9907E+01    1.6137E+01    1.3913E+01    7.0301E+01    4.8100E+01    1.4398E+01    4.4019E+00    1.5049E+01    1.4643E+01    1.4017E+01   
 3.6511E+00    4.5201E+01    5.1027E+01    2.0019E+01    1.6153E+01    1.3677E+01    7.0254E+01    4.8055E+01    1.4369E+01    4.4019E+00    1.5090E+01    1.4668E+01    1.3965E+01   
 4.7401E+00    4.5204E+01    5.1055E+01    1.9996E+01    1.6141E+01    1.3446E+01    7.0212E+01    4.8013E+01    1.4305E+01    4.4019E+00    1.5090E+01    1.4889E+01    1.3965E+01   
 5.8282E+00    4.5199E+01    5.1066E+01    2.0084E+01    1.6092E+01    1.3237E+01    7.0177E+01    4.7949E+01    1.4254E+01    4.3612E+00    1.5069E+01    1.4778E+01    1.3965E+01   
 6.9234E+00    4.5190E+01    5.1069E+01    2.0132E+01    1.6122E+01    1.3134E+01    7.0125E+01    4.7832E+01    1.4202E+01    4.3408E+00    1.5090E+01    1.4594E+01    1.3939E+01   
 8.0195E+00    4.5188E+01    5.1083E+01    2.0121E+01    1.6043E+01    1.2931E+01    7.0089E+01    4.7748E+01    1.4140E+01    4.3612E+00    1.5232E+01    1.4594E+01    1.3939E+01   
 9.1087E+00    4.5199E+01    5.1100E+01    1.9904E+01    1.5955E+01    1.2780E+01    7.0096E+01    4.7722E+01    1.4087E+01    4.3612E+00    1.5069E+01    1.4656E+01    1.3965E+01   
 1.0197E+01    4.5197E+01    5.1105E+01    1.9687E+01    1.5949E+01    1.2658E+01    7.0109E+01    4.7598E+01    1.4038E+01    4.3612E+00    1.5212E+01    1.5036E+01    1.3939E+01   
 1.1284E+01    4.5210E+01    5.1136E+01    1.9679E+01    1.5988E+01    1.2597E+01    7.0140E+01    4.7482E+01    1.4034E+01    4.3408E+00    1.5110E+01    1.5085E+01    1.3965E+01   
 1.2372E+01    4.5211E+01    5.1120E+01    1.9575E+01    1.5930E+01    1.2435E+01    7.0101E+01    4.7332E+01    1.3962E+01    4.3612E+00    1.5232E+01    1.5085E+01    1.3939E+01   
 1.3461E+01    4.5212E+01    5.1126E+01    1.9466E+01    1.5891E+01    1.2316E+01    7.0095E+01    4.7253E+01    1.3879E+01    4.3408E+00    1.5110E+01    1.5060E+01    1.3939E+01   
 1.4549E+01    4.5202E+01    5.1153E+01    1.9406E+01    1.5854E+01    1.2211E+01    7.0104E+01    4.7104E+01    1.3802E+01    4.3612E+00    1.5151E+01    1.4594E+01    1.3965E+01   
 1.5645E+01    4.5202E+01    5.1145E+01    1.9397E+01    1.5818E+01    1.2162E+01    7.0093E+01    4.6962E+01    1.3750E+01    4.3612E+00    1.5191E+01    1.4962E+01    1.3913E+01   
 1.6741E+01    4.5214E+01    5.1147E+01    1.9377E+01    1.5779E+01    1.2072E+01    7.0134E+01    4.6848E+01    1.3696E+01    4.3408E+00    1.5273E+01    1.4619E+01    1.3913E+01   
 1.7830E+01    4.5188E+01    5.1142E+01    1.9358E+01    1.5752E+01    1.1999E+01    7.0141E+01    4.6780E+01    1.3595E+01    4.3205E+00    1.5130E+01    1.4974E+01    1.3965E+01   
 1.8926E+01    4.5188E+01    5.1134E+01    1.9352E+01    1.5769E+01    1.1976E+01    7.0175E+01    4.6645E+01    1.3537E+01    4.3205E+00    1.5171E+01    1.5048E+01    1.4043E+01   
 2.0015E+01    4.5199E+01    5.1152E+01    1.9390E+01    1.5600E+01    1.1908E+01    7.0198E+01    4.6500E+01    1.3485E+01    4.3001E+00    1.5191E+01    1.4852E+01    1.3991E+01   
 2.1111E+01    4.5173E+01    5.1135E+01    1.9373E+01    1.5524E+01    1.1919E+01    7.0241E+01    4.6337E+01    1.3424E+01    4.3205E+00    1.5191E+01    1.5097E+01    1.3939E+01   
 2.2205E+01    4.5175E+01    5.1135E+01    1.9427E+01    1.5497E+01    1.1952E+01    7.0252E+01    4.6287E+01    1.3374E+01    4.2797E+00    1.5151E+01    1.5023E+01    1.3965E+01   
 2.3295E+01    4.5183E+01    5.1144E+01    1.9486E+01    1.5512E+01    1.1978E+01    7.0267E+01    4.6117E+01    1.3302E+01    4.2797E+00    1.5232E+01    1.5036E+01    1.3913E+01   
 2.4382E+01    4.5190E+01    5.1128E+01    1.9495E+01    1.5501E+01    1.2046E+01    7.0302E+01    4.5974E+01    1.3256E+01    4.2593E+00    1.5212E+01    1.4864E+01    1.3913E+01   
 2.5470E+01    4.5174E+01    5.1126E+01    1.9498E+01    1.5417E+01    1.2160E+01    7.0308E+01    4.5902E+01    1.3161E+01    4.2390E+00    1.5253E+01    1.4876E+01    1.3887E+01   
 2.6559E+01    4.5176E+01    5.1128E+01    1.9489E+01    1.5409E+01    1.2305E+01    7.0367E+01    4.5819E+01    1.3097E+01    4.2593E+00    1.5130E+01    1.4692E+01    1.3965E+01   
 2.7647E+01    4.5182E+01    5.1133E+01    1.9506E+01    1.5396E+01    1.2374E+01    7.0395E+01    4.5720E+01    1.3051E+01    4.2390E+00    1.5191E+01    1.4557E+01    1.3991E+01   
 2.8734E+01    4.5187E+01    5.1120E+01    1.9473E+01    1.5338E+01    1.2547E+01    7.0383E+01    4.5668E+01    1.3021E+01    4.1982E+00    1.5130E+01    1.4533E+01    1.3939E+01   
 2.9822E+01    4.5189E+01    5.1085E+01    1.9460E+01    1.5402E+01    1.2696E+01    7.0356E+01    4.5625E+01    1.2994E+01    4.2186E+00    1.5069E+01    1.4962E+01    1.3887E+01   
 3.0927E+01    4.5181E+01    5.1081E+01    1.9470E+01    1.5311E+01    1.2865E+01    7.0334E+01    4.5572E+01    1.3006E+01    4.2186E+00    1.5110E+01    1.4913E+01    1.3965E+01   
 3.2016E+01    4.5182E+01    5.1069E+01    1.9521E+01    1.5328E+01    1.2939E+01    7.0404E+01    4.5561E+01    1.2977E+01    4.1982E+00    1.5130E+01    1.4729E+01    1.3913E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.3168E+01    4.5197E+01    5.1045E+01    1.9532E+01    1.5397E+01    1.3104E+01    7.0467E+01    4.5559E+01    1.2939E+01    4.1779E+00    1.5008E+01    1.4508E+01    1.3939E+01   
 3.4258E+01    4.5202E+01    5.0995E+01    1.9508E+01    1.5418E+01    1.3274E+01    7.0457E+01    4.5546E+01    1.2938E+01    4.1779E+00    1.5049E+01    1.4889E+01    1.3939E+01   
 3.5335E+01    4.5197E+01    5.0998E+01    1.9500E+01    1.5432E+01    1.3442E+01    7.0447E+01    4.5571E+01    1.2985E+01    4.2186E+00    1.5090E+01    1.4606E+01    1.3939E+01   
 3.6424E+01    4.5207E+01    5.0988E+01    1.9574E+01    1.5365E+01    1.3515E+01    7.0465E+01    4.5592E+01    1.3007E+01    4.1982E+00    1.5049E+01    1.4521E+01    1.3913E+01   
 3.7504E+01    4.5196E+01    5.0974E+01    1.9508E+01    1.5367E+01    1.3660E+01    7.0475E+01    4.5678E+01    1.3060E+01    4.1982E+00    1.5028E+01    1.4557E+01    1.3991E+01   
 3.8593E+01    4.5224E+01    5.0964E+01    1.9462E+01    1.5411E+01    1.3816E+01    7.0483E+01    4.5716E+01    1.3099E+01    4.1779E+00    1.5049E+01    1.4803E+01    1.3991E+01   
 3.9682E+01    4.5216E+01    5.0947E+01    1.9458E+01    1.5425E+01    1.3887E+01    7.0542E+01    4.5795E+01    1.3103E+01    4.1982E+00    1.5008E+01    1.4839E+01    1.3939E+01   
 4.0769E+01    4.5226E+01    5.0944E+01    1.9466E+01    1.5428E+01    1.4019E+01    7.0583E+01    4.5825E+01    1.3105E+01    4.1982E+00    1.5028E+01    1.4656E+01    1.4017E+01   
 4.1857E+01    4.5249E+01    5.0938E+01    1.9483E+01    1.5450E+01    1.4154E+01    7.0629E+01    4.5948E+01    1.3129E+01    4.1982E+00    1.5008E+01    1.4619E+01    1.3939E+01   
 4.2946E+01    4.5239E+01    5.0929E+01    1.9470E+01    1.5405E+01    1.4288E+01    7.0673E+01    4.5978E+01    1.3180E+01    4.1779E+00    1.4988E+01    1.4472E+01    1.3913E+01   
 4.4034E+01    4.5254E+01    5.0933E+01    1.9444E+01    1.5403E+01    1.4369E+01    7.0739E+01    4.6121E+01    1.3213E+01    4.1982E+00    1.4988E+01    1.4459E+01    1.3913E+01   
 4.5121E+01    4.5260E+01    5.0941E+01    1.9467E+01    1.5429E+01    1.4469E+01    7.0795E+01    4.6238E+01    1.3211E+01    4.2186E+00    1.4988E+01    1.4557E+01    1.4017E+01   
 4.6210E+01    4.5267E+01    5.0940E+01    1.9488E+01    1.5550E+01    1.4615E+01    7.0822E+01    4.6299E+01    1.3278E+01    4.2390E+00    1.5049E+01    1.4484E+01    1.3913E+01   
 4.7305E+01    4.5282E+01    5.0928E+01    1.9414E+01    1.5604E+01    1.4760E+01    7.0868E+01    4.6441E+01    1.3315E+01    4.1982E+00    1.5028E+01    1.4827E+01    1.3913E+01   
 4.8387E+01    4.5290E+01    5.0944E+01    1.9448E+01    1.5653E+01    1.4804E+01    7.0912E+01    4.6545E+01    1.3318E+01    4.2390E+00    1.5028E+01    1.4594E+01    1.3991E+01   
 4.9480E+01    4.5288E+01    5.0931E+01    1.9419E+01    1.5586E+01    1.4925E+01    7.0944E+01    4.6660E+01    1.3358E+01    4.2186E+00    1.4988E+01    1.4557E+01    1.3913E+01   
 5.0562E+01    4.5282E+01    5.0934E+01    1.9441E+01    1.5591E+01    1.5016E+01    7.0938E+01    4.6712E+01    1.3359E+01    4.2186E+00    1.5008E+01    1.4496E+01    1.3991E+01   
 5.1651E+01    4.5291E+01    5.0931E+01    1.9435E+01    1.5596E+01    1.5063E+01    7.0911E+01    4.6791E+01    1.3382E+01    4.1982E+00    1.5008E+01    1.4864E+01    1.3939E+01   
 5.2746E+01    4.5286E+01    5.0951E+01    1.9481E+01    1.5681E+01    1.5190E+01    7.0882E+01    4.6919E+01    1.3416E+01    4.2186E+00    1.5008E+01    1.4521E+01    1.3939E+01   
 5.3833E+01    4.5299E+01    5.0958E+01    1.9476E+01    1.5705E+01    1.5277E+01    7.0873E+01    4.7024E+01    1.3422E+01    4.2390E+00    1.4988E+01    1.4459E+01    1.3913E+01   
 5.4921E+01    4.5326E+01    5.0992E+01    1.9517E+01    1.5650E+01    1.5376E+01    7.0859E+01    4.7069E+01    1.3444E+01    4.2390E+00    1.4967E+01    1.4508E+01    1.3887E+01   
 5.5998E+01    4.5307E+01    5.0985E+01    1.9490E+01    1.5748E+01    1.5432E+01    7.0858E+01    4.7178E+01    1.3482E+01    4.2390E+00    1.5069E+01    1.4705E+01    1.3939E+01   
 5.7074E+01    4.5302E+01    5.0983E+01    1.9468E+01    1.5754E+01    1.5514E+01    7.0825E+01    4.7263E+01    1.3495E+01    4.2593E+00    1.5008E+01    1.4472E+01    1.3991E+01   
 5.8161E+01    4.5302E+01    5.0992E+01    1.9471E+01    1.5714E+01    1.5612E+01    7.0803E+01    4.7322E+01    1.3527E+01    4.2593E+00    1.5090E+01    1.4729E+01    1.3887E+01   
 5.9250E+01    4.5323E+01    5.0982E+01    1.9504E+01    1.5755E+01    1.5687E+01    7.0774E+01    4.7404E+01    1.3583E+01    4.2593E+00    1.4988E+01    1.4913E+01    1.4043E+01   
 6.0339E+01    4.5309E+01    5.0980E+01    1.9526E+01    1.5744E+01    1.5732E+01    7.0749E+01    4.7460E+01    1.3600E+01    4.2797E+00    1.5049E+01    1.4815E+01    1.3965E+01   
 6.1427E+01    4.5322E+01    5.1019E+01    1.9542E+01    1.5772E+01    1.5805E+01    7.0735E+01    4.7522E+01    1.3621E+01    4.2593E+00    1.5049E+01    1.4508E+01    1.3991E+01   
 6.2514E+01    4.5327E+01    5.1003E+01    1.9634E+01    1.5847E+01    1.5880E+01    7.0704E+01    4.7541E+01    1.3646E+01    4.2593E+00    1.4967E+01    1.4778E+01    1.3939E+01   
 6.3602E+01    4.5323E+01    5.1022E+01    1.9613E+01    1.5845E+01    1.5958E+01    7.0678E+01    4.7598E+01    1.3701E+01    4.2797E+00    1.5069E+01    1.4508E+01    1.3939E+01   
 6.4747E+01    4.5330E+01    5.1030E+01    1.9672E+01    1.5838E+01    1.5992E+01    7.0659E+01    4.7654E+01    1.3725E+01    4.2797E+00    1.5049E+01    1.4508E+01    1.3913E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 6.5835E+01    4.5330E+01    5.1028E+01    1.9620E+01    1.5906E+01    1.6078E+01    7.0685E+01    4.7723E+01    1.3759E+01    4.2797E+00    1.5069E+01    1.4508E+01    1.3913E+01   
 6.6948E+01    4.5336E+01    5.1041E+01    1.9569E+01    1.5887E+01    1.6117E+01    7.0700E+01    4.7725E+01    1.3775E+01    4.2593E+00    1.5069E+01    1.4852E+01    1.3887E+01   
 6.8029E+01    4.5330E+01    5.1043E+01    1.9630E+01    1.5864E+01    1.6178E+01    7.0704E+01    4.7758E+01    1.3791E+01    4.2797E+00    1.5069E+01    1.4790E+01    1.3991E+01   
 6.9123E+01    4.5348E+01    5.1033E+01    1.9585E+01    1.5908E+01    1.6196E+01    7.0652E+01    4.7767E+01    1.3786E+01    4.3205E+00    1.5028E+01    1.4594E+01    1.3965E+01   
