# Run number 11 on Tue May 21 10:18:05 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 2.9024E-01    4.4850E+01    5.2415E+01    1.9816E+01    1.6134E+01    1.5942E+01    7.1311E+01    4.8809E+01    1.3814E+01    4.3460E+00    1.5462E+01    1.4646E+01    9.0216E+00   
 1.4356E+00    4.4830E+01    5.2424E+01    1.9768E+01    1.6201E+01    1.5984E+01    7.1280E+01    4.8814E+01    1.3847E+01    4.3257E+00    1.5482E+01    1.5036E+01    8.9974E+00   
 2.5316E+00    4.4841E+01    5.2414E+01    1.9740E+01    1.6128E+01    1.6039E+01    7.1269E+01    4.8833E+01    1.3848E+01    4.3460E+00    1.5421E+01    1.4743E+01    9.0216E+00   
 3.6357E+00    4.4828E+01    5.2425E+01    1.9723E+01    1.6182E+01    1.6096E+01    7.1238E+01    4.8838E+01    1.3871E+01    4.3664E+00    1.5441E+01    1.4719E+01    8.9974E+00   
 4.7308E+00    4.4829E+01    5.2428E+01    1.9754E+01    1.6210E+01    1.6128E+01    7.1212E+01    4.8893E+01    1.3916E+01    4.3868E+00    1.5482E+01    1.5060E+01    8.9731E+00   
 5.8231E+00    4.4847E+01    5.2455E+01    1.9755E+01    1.6200E+01    1.6213E+01    7.1173E+01    4.8907E+01    1.3973E+01    4.3460E+00    1.5645E+01    1.5011E+01    8.9974E+00   
 6.9163E+00    4.4884E+01    5.2471E+01    1.9908E+01    1.6298E+01    1.6240E+01    7.1159E+01    4.8937E+01    1.4002E+01    4.3664E+00    1.5584E+01    1.5145E+01    8.9731E+00   
 8.0125E+00    4.4890E+01    5.2510E+01    1.9830E+01    1.6302E+01    1.6270E+01    7.1124E+01    4.8974E+01    1.4002E+01    4.3460E+00    1.5523E+01    1.4938E+01    9.0216E+00   
 9.0996E+00    4.4880E+01    5.2494E+01    1.9775E+01    1.6256E+01    1.6311E+01    7.1109E+01    4.8990E+01    1.4062E+01    4.3664E+00    1.5605E+01    1.4914E+01    9.0216E+00   
 1.0188E+01    4.4855E+01    5.2475E+01    1.9705E+01    1.6253E+01    1.6334E+01    7.1116E+01    4.9043E+01    1.4087E+01    4.3460E+00    1.5523E+01    1.4792E+01    9.0216E+00   
 1.1269E+01    4.4842E+01    5.2472E+01    1.9616E+01    1.6290E+01    1.6361E+01    7.1119E+01    4.9069E+01    1.4151E+01    4.3868E+00    1.5584E+01    1.4999E+01    8.9488E+00   
 1.2365E+01    4.4846E+01    5.2469E+01    1.9649E+01    1.6294E+01    1.6361E+01    7.1104E+01    4.9098E+01    1.4165E+01    4.3868E+00    1.5625E+01    1.5109E+01    8.9731E+00   
 1.3444E+01    4.4861E+01    5.2475E+01    1.9684E+01    1.6260E+01    1.6350E+01    7.1071E+01    4.9111E+01    1.4195E+01    4.3664E+00    1.5462E+01    1.4634E+01    8.9974E+00   
 1.4526E+01    4.4849E+01    5.2476E+01    1.9812E+01    1.6289E+01    1.6335E+01    7.1076E+01    4.9115E+01    1.4250E+01    4.3868E+00    1.5462E+01    1.4682E+01    8.9731E+00   
 1.5605E+01    4.4861E+01    5.2460E+01    1.9794E+01    1.6297E+01    1.6283E+01    7.1068E+01    4.9122E+01    1.4254E+01    4.3664E+00    1.5543E+01    1.4682E+01    8.9974E+00   
 1.6693E+01    4.4855E+01    5.2461E+01    1.9793E+01    1.6354E+01    1.6260E+01    7.1057E+01    4.9121E+01    1.4280E+01    4.3664E+00    1.5441E+01    1.4743E+01    8.9974E+00   
 1.7783E+01    4.4853E+01    5.2466E+01    1.9689E+01    1.6284E+01    1.6205E+01    7.1040E+01    4.9121E+01    1.4323E+01    4.3868E+00    1.5605E+01    1.4792E+01    8.9731E+00   
 1.8869E+01    4.4855E+01    5.2474E+01    1.9640E+01    1.6288E+01    1.6091E+01    7.1047E+01    4.9116E+01    1.4378E+01    4.3868E+00    1.5564E+01    1.4902E+01    9.0216E+00   
 1.9950E+01    4.4861E+01    5.2486E+01    1.9722E+01    1.6343E+01    1.6040E+01    7.1058E+01    4.9159E+01    1.4418E+01    4.4275E+00    1.5645E+01    1.5011E+01    8.9731E+00   
 2.1022E+01    4.4887E+01    5.2509E+01    1.9690E+01    1.6387E+01    1.5934E+01    7.1084E+01    4.9198E+01    1.4443E+01    4.4479E+00    1.5523E+01    1.5048E+01    8.9488E+00   
 2.2109E+01    4.4903E+01    5.2527E+01    1.9655E+01    1.6399E+01    1.5801E+01    7.1116E+01    4.9219E+01    1.4504E+01    4.4071E+00    1.5543E+01    1.5036E+01    9.0216E+00   
 2.3197E+01    4.4887E+01    5.2536E+01    1.9646E+01    1.6415E+01    1.5657E+01    7.1176E+01    4.9271E+01    1.4529E+01    4.4275E+00    1.5564E+01    1.4865E+01    8.9731E+00   
 2.4285E+01    4.4894E+01    5.2515E+01    1.9659E+01    1.6396E+01    1.5587E+01    7.1181E+01    4.9278E+01    1.4558E+01    4.4275E+00    1.5543E+01    1.4865E+01    8.9974E+00   
 2.5373E+01    4.4882E+01    5.2532E+01    1.9625E+01    1.6402E+01    1.5385E+01    7.1223E+01    4.9301E+01    1.4581E+01    4.4275E+00    1.5564E+01    1.4731E+01    8.9731E+00   
 2.6456E+01    4.4873E+01    5.2536E+01    1.9691E+01    1.6461E+01    1.5073E+01    7.1208E+01    4.9314E+01    1.4600E+01    4.4275E+00    1.5523E+01    1.5231E+01    8.9974E+00   
 2.7542E+01    4.4902E+01    5.2550E+01    1.9825E+01    1.6477E+01    1.4652E+01    7.1216E+01    4.9290E+01    1.4580E+01    4.4275E+00    1.5686E+01    1.5170E+01    8.9731E+00   
 2.8629E+01    4.4898E+01    5.2557E+01    1.9811E+01    1.6475E+01    1.4373E+01    7.1201E+01    4.9277E+01    1.4580E+01    4.4479E+00    1.5564E+01    1.5145E+01    8.9731E+00   
 2.9717E+01    4.4884E+01    5.2561E+01    1.9742E+01    1.6370E+01    1.4011E+01    7.1152E+01    4.9244E+01    1.4558E+01    4.4275E+00    1.5543E+01    1.4987E+01    8.9974E+00   
 3.0814E+01    4.4910E+01    5.2597E+01    1.9715E+01    1.6476E+01    1.3718E+01    7.1172E+01    4.9217E+01    1.4568E+01    4.4275E+00    1.5747E+01    1.5011E+01    8.9974E+00   
 3.1903E+01    4.4905E+01    5.2616E+01    1.9693E+01    1.6453E+01    1.3616E+01    7.1127E+01    4.9199E+01    1.4563E+01    4.4275E+00    1.5543E+01    1.4975E+01    8.9731E+00   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
