# Run number 06 on Tue May 21 09:43:11 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1623E-01    3.4846E+01    4.4327E+01    1.9947E+01    1.4928E+01    1.4747E+01    5.9207E+01    4.0381E+01    1.2666E+01    4.1219E+00    1.2627E+01    1.3379E+01    7.2511E+00   
 1.4616E+00    3.4865E+01    4.4345E+01    1.9983E+01    1.4973E+01    1.4799E+01    5.9229E+01    4.0397E+01    1.2655E+01    4.1219E+00    1.2688E+01    1.3062E+01    7.2209E+00   
 2.5557E+00    3.4869E+01    4.4367E+01    1.9838E+01    1.4962E+01    1.4810E+01    5.9230E+01    4.0431E+01    1.2647E+01    4.1219E+00    1.2606E+01    1.3403E+01    7.2511E+00   
 3.6577E+00    3.4884E+01    4.4371E+01    1.9808E+01    1.4961E+01    1.4832E+01    5.9260E+01    4.0452E+01    1.2614E+01    4.1423E+00    1.2749E+01    1.3269E+01    7.1906E+00   
 4.7410E+00    3.4880E+01    4.4379E+01    1.9627E+01    1.4961E+01    1.4901E+01    5.9252E+01    4.0449E+01    1.2644E+01    4.1423E+00    1.2708E+01    1.3403E+01    7.2511E+00   
 5.8370E+00    3.4895E+01    4.4382E+01    1.9710E+01    1.4978E+01    1.4951E+01    5.9240E+01    4.0514E+01    1.2663E+01    4.1219E+00    1.2668E+01    1.3062E+01    7.2511E+00   
 6.9322E+00    3.4906E+01    4.4388E+01    1.9862E+01    1.4962E+01    1.4954E+01    5.9257E+01    4.0539E+01    1.2678E+01    4.1423E+00    1.2668E+01    1.3086E+01    7.2209E+00   
 8.0284E+00    3.4921E+01    4.4416E+01    1.9986E+01    1.5017E+01    1.5020E+01    5.9262E+01    4.0579E+01    1.2689E+01    4.1219E+00    1.2647E+01    1.3257E+01    7.2811E+00   
 9.1255E+00    3.4955E+01    4.4404E+01    1.9852E+01    1.5017E+01    1.5080E+01    5.9285E+01    4.0614E+01    1.2713E+01    4.1219E+00    1.2627E+01    1.3440E+01    7.2511E+00   
 1.0222E+01    3.4964E+01    4.4401E+01    1.9763E+01    1.5007E+01    1.5107E+01    5.9300E+01    4.0668E+01    1.2732E+01    4.1219E+00    1.2647E+01    1.3074E+01    7.2209E+00   
 1.1317E+01    3.4977E+01    4.4415E+01    1.9781E+01    1.5100E+01    1.5180E+01    5.9309E+01    4.0693E+01    1.2766E+01    4.1423E+00    1.2627E+01    1.3074E+01    7.2811E+00   
 1.2413E+01    3.4978E+01    4.4432E+01    1.9786E+01    1.5084E+01    1.5214E+01    5.9325E+01    4.0767E+01    1.2766E+01    4.1219E+00    1.2668E+01    1.3391E+01    7.2209E+00   
 1.3504E+01    3.4995E+01    4.4441E+01    1.9699E+01    1.5054E+01    1.5257E+01    5.9331E+01    4.0748E+01    1.2716E+01    4.1423E+00    1.2729E+01    1.3062E+01    7.2209E+00   
 1.4590E+01    3.4996E+01    4.4460E+01    1.9726E+01    1.5068E+01    1.5233E+01    5.9292E+01    4.0773E+01    1.2712E+01    4.1627E+00    1.2688E+01    1.3306E+01    7.2209E+00   
 1.5685E+01    3.5025E+01    4.4489E+01    1.9717E+01    1.5135E+01    1.5269E+01    5.9277E+01    4.0788E+01    1.2707E+01    4.1219E+00    1.2708E+01    1.3464E+01    7.2209E+00   
