# Run number 05 on Wed May 22 16:08:13 2024
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.1367E-01    4.5904E+01    5.1696E+01    1.9984E+01    1.6238E+01    1.4311E+01    7.1000E+01    4.8812E+01    1.4522E+01    4.4223E+00    1.5253E+01    1.4974E+01    1.4017E+01   
 1.4510E+00    4.5910E+01    5.1722E+01    2.0142E+01    1.6219E+01    1.3992E+01    7.1066E+01    4.8819E+01    1.4470E+01    4.4019E+00    1.5355E+01    1.4729E+01    1.4017E+01   
 2.5370E+00    4.5932E+01    5.1733E+01    2.0111E+01    1.6199E+01    1.3711E+01    7.1087E+01    4.8728E+01    1.4414E+01    4.3816E+00    1.5293E+01    1.5073E+01    1.3939E+01   
 3.6493E+00    4.5948E+01    5.1756E+01    1.9991E+01    1.6175E+01    1.3435E+01    7.1163E+01    4.8662E+01    1.4381E+01    4.3816E+00    1.5375E+01    1.4717E+01    1.3913E+01   
 4.7384E+00    4.5937E+01    5.1767E+01    1.9977E+01    1.6195E+01    1.3309E+01    7.1229E+01    4.8617E+01    1.4312E+01    4.4223E+00    1.5457E+01    1.4766E+01    1.3965E+01   
 5.8265E+00    4.5957E+01    5.1791E+01    1.9957E+01    1.6204E+01    1.3123E+01    7.1283E+01    4.8524E+01    1.4231E+01    4.4019E+00    1.5355E+01    1.4815E+01    1.3991E+01   
 6.9297E+00    4.5965E+01    5.1801E+01    1.9956E+01    1.6185E+01    1.2931E+01    7.1323E+01    4.8412E+01    1.4214E+01    4.4019E+00    1.5457E+01    1.4766E+01    1.4017E+01   
 8.0178E+00    4.5967E+01    5.1819E+01    2.0065E+01    1.6125E+01    1.2744E+01    7.1330E+01    4.8315E+01    1.4124E+01    4.3612E+00    1.5375E+01    1.4901E+01    1.3965E+01   
 9.1070E+00    4.5992E+01    5.1846E+01    2.0029E+01    1.6087E+01    1.2686E+01    7.1291E+01    4.8264E+01    1.4076E+01    4.3816E+00    1.5436E+01    1.5171E+01    1.3991E+01   
 1.0195E+01    4.5999E+01    5.1865E+01    2.0059E+01    1.6068E+01    1.2547E+01    7.1221E+01    4.8124E+01    1.4001E+01    4.3205E+00    1.5395E+01    1.5269E+01    1.4017E+01   
 1.1282E+01    4.6002E+01    5.1878E+01    1.9861E+01    1.6084E+01    1.2404E+01    7.1204E+01    4.8016E+01    1.3976E+01    4.3612E+00    1.5416E+01    1.5085E+01    1.3939E+01   
 1.2370E+01    4.6002E+01    5.1886E+01    1.9655E+01    1.6050E+01    1.2303E+01    7.1172E+01    4.7892E+01    1.3915E+01    4.3612E+00    1.5497E+01    1.4778E+01    1.3939E+01   
 1.3460E+01    4.6004E+01    5.1888E+01    1.9848E+01    1.5959E+01    1.2273E+01    7.1183E+01    4.7844E+01    1.3852E+01    4.3612E+00    1.5395E+01    1.4999E+01    1.3939E+01   
 1.4541E+01    4.6015E+01    5.1890E+01    1.9821E+01    1.5923E+01    1.2161E+01    7.1181E+01    4.7673E+01    1.3783E+01    4.3612E+00    1.5518E+01    1.4803E+01    1.3991E+01   
 1.5629E+01    4.6018E+01    5.1904E+01    1.9773E+01    1.5914E+01    1.2095E+01    7.1201E+01    4.7535E+01    1.3738E+01    4.3205E+00    1.5395E+01    1.5158E+01    1.3965E+01   
 1.6715E+01    4.6055E+01    5.1945E+01    1.9679E+01    1.5878E+01    1.2058E+01    7.1254E+01    4.7388E+01    1.3682E+01    4.3408E+00    1.5579E+01    1.5269E+01    1.3913E+01   
 1.7798E+01    4.6069E+01    5.1959E+01    1.9909E+01    1.5853E+01    1.2021E+01    7.1274E+01    4.7320E+01    1.3592E+01    4.3205E+00    1.5477E+01    1.5073E+01    1.3965E+01   
 1.8884E+01    4.6070E+01    5.1970E+01    1.9690E+01    1.5776E+01    1.1983E+01    7.1310E+01    4.7153E+01    1.3575E+01    4.3408E+00    1.5416E+01    1.4754E+01    1.4017E+01   
 1.9965E+01    4.6076E+01    5.1971E+01    1.9849E+01    1.5796E+01    1.2001E+01    7.1343E+01    4.7034E+01    1.3510E+01    4.2797E+00    1.5416E+01    1.4925E+01    1.3913E+01   
 2.1053E+01    4.6079E+01    5.1980E+01    1.9719E+01    1.5725E+01    1.2005E+01    7.1366E+01    4.6977E+01    1.3439E+01    4.3001E+00    1.5559E+01    1.5256E+01    1.3913E+01   
 2.2142E+01    4.6067E+01    5.1969E+01    1.9565E+01    1.5735E+01    1.2089E+01    7.1379E+01    4.6876E+01    1.3394E+01    4.3001E+00    1.5395E+01    1.4962E+01    1.3939E+01   
 2.3231E+01    4.6070E+01    5.1975E+01    1.9560E+01    1.5700E+01    1.2191E+01    7.1391E+01    4.6763E+01    1.3390E+01    4.2593E+00    1.5538E+01    1.5232E+01    1.3939E+01   
 2.4316E+01    4.6050E+01    5.1968E+01    1.9491E+01    1.5656E+01    1.2241E+01    7.1345E+01    4.6637E+01    1.3292E+01    4.2390E+00    1.5416E+01    1.4901E+01    1.3939E+01   
 2.5398E+01    4.6073E+01    5.1981E+01    1.9529E+01    1.5511E+01    1.2392E+01    7.1292E+01    4.6586E+01    1.3237E+01    4.2593E+00    1.5518E+01    1.4790E+01    1.3965E+01   
 2.6485E+01    4.6085E+01    5.1961E+01    1.9512E+01    1.5585E+01    1.2512E+01    7.1261E+01    4.6464E+01    1.3184E+01    4.2593E+00    1.5416E+01    1.4705E+01    1.3991E+01   
 2.7567E+01    4.6104E+01    5.1970E+01    1.9514E+01    1.5653E+01    1.2688E+01    7.1218E+01    4.6408E+01    1.3160E+01    4.2390E+00    1.5477E+01    1.5207E+01    1.3939E+01   
 2.8661E+01    4.6134E+01    5.1978E+01    1.9796E+01    1.5618E+01    1.2768E+01    7.1168E+01    4.6369E+01    1.3132E+01    4.2186E+00    1.5314E+01    1.4889E+01    1.3939E+01   
 2.9749E+01    4.6138E+01    5.1950E+01    1.9719E+01    1.5563E+01    1.2963E+01    7.1137E+01    4.6353E+01    1.3133E+01    4.2186E+00    1.5375E+01    1.4656E+01    1.4017E+01   
 3.0838E+01    4.6169E+01    5.1962E+01    1.9588E+01    1.5610E+01    1.3107E+01    7.1102E+01    4.6329E+01    1.3121E+01    4.2186E+00    1.5457E+01    1.4864E+01    1.3965E+01   
 3.1926E+01    4.6160E+01    5.1931E+01    1.9808E+01    1.5638E+01    1.3258E+01    7.1111E+01    4.6299E+01    1.3097E+01    4.2186E+00    1.5293E+01    1.5060E+01    1.3965E+01   
# Time (s)      T1w (C)       T2w (C)       T1a (C)       T2a (C)       T1r (C)       T2r (C)       T3r (C)       T4r (C)       P1 (bar)      P2 (bar)      Pow (W/100)      Qc (l/min)    
 3.3013E+01    4.6168E+01    5.1909E+01    1.9936E+01    1.5667E+01    1.3320E+01    7.1160E+01    4.6286E+01    1.3084E+01    4.2186E+00    1.5355E+01    1.4987E+01    1.3965E+01   
 3.4101E+01    4.6177E+01    5.1867E+01    1.9813E+01    1.5650E+01    1.3507E+01    7.1213E+01    4.6332E+01    1.3100E+01    4.2186E+00    1.5436E+01    1.4619E+01    1.3991E+01   
 3.5230E+01    4.6165E+01    5.1846E+01    1.9757E+01    1.5652E+01    1.3661E+01    7.1250E+01    4.6372E+01    1.3146E+01    4.2390E+00    1.5395E+01    1.4631E+01    1.3913E+01   
 3.6327E+01    4.6188E+01    5.1851E+01    1.9700E+01    1.5638E+01    1.3819E+01    7.1349E+01    4.6422E+01    1.3166E+01    4.2186E+00    1.5293E+01    1.4606E+01    1.3939E+01   
 3.7431E+01    4.6185E+01    5.1844E+01    1.9734E+01    1.5628E+01    1.3893E+01    7.1427E+01    4.6446E+01    1.3223E+01    4.2186E+00    1.5416E+01    1.4901E+01    1.3991E+01   
 3.8512E+01    4.6185E+01    5.1828E+01    1.9808E+01    1.5666E+01    1.4039E+01    7.1512E+01    4.6535E+01    1.3255E+01    4.2186E+00    1.5395E+01    1.4839E+01    1.4017E+01   
 3.9590E+01    4.6194E+01    5.1828E+01    1.9814E+01    1.5700E+01    1.4174E+01    7.1527E+01    4.6615E+01    1.3259E+01    4.2186E+00    1.5273E+01    1.4631E+01    1.3991E+01   
 4.0677E+01    4.6183E+01    5.1830E+01    1.9720E+01    1.5701E+01    1.4232E+01    7.1504E+01    4.6667E+01    1.3323E+01    4.2390E+00    1.5355E+01    1.4925E+01    1.3939E+01   
 4.1745E+01    4.6211E+01    5.1826E+01    1.9676E+01    1.5722E+01    1.4367E+01    7.1479E+01    4.6748E+01    1.3329E+01    4.2186E+00    1.5395E+01    1.5146E+01    1.3991E+01   
 4.2832E+01    4.6210E+01    5.1836E+01    1.9717E+01    1.5747E+01    1.4486E+01    7.1444E+01    4.6828E+01    1.3352E+01    4.2186E+00    1.5253E+01    1.4827E+01    1.4017E+01   
 4.3920E+01    4.6237E+01    5.1856E+01    1.9706E+01    1.5750E+01    1.4627E+01    7.1391E+01    4.6966E+01    1.3380E+01    4.2390E+00    1.5436E+01    1.4901E+01    1.4043E+01   
 4.5008E+01    4.6247E+01    5.1865E+01    1.9622E+01    1.5668E+01    1.4677E+01    7.1356E+01    4.7085E+01    1.3439E+01    4.2390E+00    1.5273E+01    1.5122E+01    1.3965E+01   
 4.6090E+01    4.6282E+01    5.1866E+01    1.9643E+01    1.5761E+01    1.4809E+01    7.1350E+01    4.7123E+01    1.3452E+01    4.2186E+00    1.5416E+01    1.4913E+01    1.3991E+01   
 4.7175E+01    4.6255E+01    5.1877E+01    1.9565E+01    1.5710E+01    1.4902E+01    7.1315E+01    4.7238E+01    1.3484E+01    4.2186E+00    1.5293E+01    1.4717E+01    1.4017E+01   
 4.8257E+01    4.6267E+01    5.1890E+01    1.9651E+01    1.5812E+01    1.5036E+01    7.1266E+01    4.7339E+01    1.3497E+01    4.2186E+00    1.5375E+01    1.5146E+01    1.3939E+01   
 4.9346E+01    4.6282E+01    5.1888E+01    1.9637E+01    1.5854E+01    1.5090E+01    7.1241E+01    4.7409E+01    1.3505E+01    4.2390E+00    1.5253E+01    1.4987E+01    1.3965E+01   
 5.0450E+01    4.6284E+01    5.1892E+01    1.9916E+01    1.5856E+01    1.5190E+01    7.1267E+01    4.7515E+01    1.3494E+01    4.2186E+00    1.5334E+01    1.4656E+01    1.4017E+01   
 5.1544E+01    4.6305E+01    5.1909E+01    1.9998E+01    1.5895E+01    1.5312E+01    7.1284E+01    4.7599E+01    1.3486E+01    4.2390E+00    1.5395E+01    1.4754E+01    1.3913E+01   
 5.2626E+01    4.6317E+01    5.1891E+01    1.9991E+01    1.5926E+01    1.5364E+01    7.1257E+01    4.7666E+01    1.3514E+01    4.2390E+00    1.5253E+01    1.4643E+01    1.3939E+01   
 5.3715E+01    4.6324E+01    5.1896E+01    1.9992E+01    1.5921E+01    1.5463E+01    7.1251E+01    4.7719E+01    1.3547E+01    4.2390E+00    1.5314E+01    1.5011E+01    1.3965E+01   
 5.4803E+01    4.6319E+01    5.1889E+01    1.9703E+01    1.5918E+01    1.5558E+01    7.1271E+01    4.7824E+01    1.3586E+01    4.2593E+00    1.5273E+01    1.4692E+01    1.3965E+01   
 5.5888E+01    4.6332E+01    5.1901E+01    1.9595E+01    1.5998E+01    1.5651E+01    7.1308E+01    4.7929E+01    1.3599E+01    4.2390E+00    1.5395E+01    1.4668E+01    1.3939E+01   
 5.6970E+01    4.6322E+01    5.1905E+01    1.9556E+01    1.5968E+01    1.5692E+01    7.1323E+01    4.8004E+01    1.3622E+01    4.2797E+00    1.5375E+01    1.5036E+01    1.4068E+01   
 5.8059E+01    4.6343E+01    5.1927E+01    1.9530E+01    1.6016E+01    1.5802E+01    7.1317E+01    4.8049E+01    1.3693E+01    4.2593E+00    1.5375E+01    1.4815E+01    1.3913E+01   
 5.9146E+01    4.6337E+01    5.1903E+01    1.9684E+01    1.6033E+01    1.5884E+01    7.1299E+01    4.8132E+01    1.3712E+01    4.2797E+00    1.5314E+01    1.5048E+01    1.3913E+01   
 6.0233E+01    4.6344E+01    5.1923E+01    1.9541E+01    1.5987E+01    1.5963E+01    7.1312E+01    4.8184E+01    1.3739E+01    4.2797E+00    1.5314E+01    1.5036E+01    1.3965E+01   
 6.1321E+01    4.6338E+01    5.1925E+01    1.9533E+01    1.6022E+01    1.6013E+01    7.1343E+01    4.8230E+01    1.3785E+01    4.3205E+00    1.5416E+01    1.4692E+01    1.4017E+01   
 6.2410E+01    4.6339E+01    5.1935E+01    1.9753E+01    1.6099E+01    1.6089E+01    7.1337E+01    4.8288E+01    1.3805E+01    4.2797E+00    1.5355E+01    1.4839E+01    1.3965E+01   
 6.3498E+01    4.6366E+01    5.1940E+01    1.9652E+01    1.6020E+01    1.6184E+01    7.1354E+01    4.8367E+01    1.3842E+01    4.3205E+00    1.5395E+01    1.5060E+01    1.3861E+01   
